VendorCode,VendorName,Vertical,City,State,GSTIN,ContactPerson,Phone,Email,OnboardDate,PaymentTerms,VendorRatingInternal,IsActive
V-1037,RenewSys India,Solar Panels,Gurugram,Haryana,13QIDAD54516M8Z0,Wishi Sathe,9034824771,sales@renewsys.co.in,2020-11-13,Net 45,3.8,Y
V-1038,Websol Energy System,Solar Panels,Chennai,Tamil Nadu,10AFOHD93248H0Z8,Wishi Manne,9846773782,sales@websol.co.in,2022-08-23,Net 45,4.8,Y
V-1039,Loom Solar,Solar Panels,Bhubaneswar,Odisha,15YGRAS98214U6Z5,Vrishti Dixit,9787558867,sales@loom.co.in,2025-05-22,Advance 20% + Net 30,4.7,Y
V-1040,Exide Industries,Batteries,Nagpur,Maharashtra,30UVETZ33963Y6Z0,Max Tandon,9028951718,sales@exide.co.in,2025-04-11,Net 45,4.6,Y
V-1041,Amara Raja Batteries (Amaron),Batteries,Hyderabad,Telangana,29VNSZP02621F7Z4,Lajita Nadig,9780913431,sales@amara.co.in,2022-11-23,Net 30,3.3,Y
V-1042,Luminous Power Technologies,Batteries,Bhubaneswar,Odisha,15UYDSW11724X0Z0,Madhav Konda,9869222196,sales@luminous.co.in,2023-10-28,Advance 20% + Net 30,4.8,Y
V-1043,Su-Kam Power Systems,Batteries,Indore,Madhya Pradesh,26DQQAZ37923D7Z4,Nakul Borah,9759464743,sales@su-kam.co.in,2025-09-20,Net 15,4.1,Y
V-1044,Okaya Power,Batteries,Chennai,Tamil Nadu,10SSSBQ71369Z5Z9,Abhiram Bawa,9974395339,sales@okaya.co.in,2021-12-23,Net 15,4.8,Y
V-1045,HBL Power Systems,Batteries,Indore,Madhya Pradesh,36XUIFS21047U0Z9,Parth Iyer,9285884247,sales@hbl.co.in,2025-07-24,Net 45,3.5,Y
V-1046,Livguard Energy,Batteries,Surat,Gujarat,28RURZZ45171J2Z3,Gautam Rana,9048175496,sales@livguard.co.in,2024-11-01,Net 15,3.2,Y
V-1047,Panasonic Energy India,Batteries,Chennai,Tamil Nadu,36UNOPE51370O9Z8,Chasmum Rege,9120047113,sales@panasonic.co.in,2025-02-28,Net 15,4.9,Y
V-1048,Base Corporation,Batteries,Hyderabad,Telangana,34VUJAP26758G6Z9,Nikita Mammen,9053773515,sales@base.co.in,2023-06-13,Net 30,3.2,Y
V-1049,Exicom Power Solutions,Batteries,Chennai,Tamil Nadu,27FQNPO50643M1Z7,Chandresh Nath,9329318393,sales@exicom.co.in,2024-10-15,Net 30,3.5,Y
V-1050,Astral Pipes,Plumbing Materials,Nagpur,Maharashtra,29IIQZL35290H4Z2,Karan Aurora,9539502402,sales@astral.co.in,2024-06-07,Net 60,4.8,Y
V-1051,Supreme Industries,Plumbing Materials,Indore,Madhya Pradesh,27LGCGO81177N5Z8,Charvi Shanker,9007661771,sales@supreme.co.in,2025-03-22,Net 30,4.4,Y
V-1052,Finolex Pipes,Plumbing Materials,Bengaluru,Karnataka,31OLJTU59212Y4Z9,Sudiksha Tiwari,9961183673,sales@finolex.co.in,2022-10-17,Net 45,3.8,Y
V-1053,Prince Pipes,Plumbing Materials,Hyderabad,Telangana,24QQXJR76615E6Z5,Gavin Chada,9161528098,sales@prince.co.in,2023-07-14,Net 15,3.5,Y
V-1054,Ashirvad Pipes (Aliaxis),Plumbing Materials,Pune,Maharashtra,20TWGKG16560N4Z9,Vasatika Kapur,9158514936,sales@ashirvad.co.in,2024-12-13,Net 15,4.1,Y
V-1055,CERA Sanitaryware,Plumbing Materials,Surat,Gujarat,28LRSWT99809V4Z0,Abeer Golla,9296120183,sales@cera.co.in,2022-08-09,Net 30,3.0,Y
V-1056,Jaquar Group,Plumbing Materials,Lucknow,Uttar Pradesh,30MFDJK75254W5Z9,Finn Magar,9767976438,sales@jaquar.co.in,2021-04-17,Net 15,3.4,Y
V-1057,Hindware Homes,Plumbing Materials,Indore,Madhya Pradesh,11COZMD61497A8Z4,Charvi Kakar,9244510762,sales@hindware.co.in,2021-05-15,Net 45,3.1,Y
V-1058,Kajaria Ceramics,Plumbing Materials,Surat,Gujarat,18VCBBD83885E1Z6,Pushti Ravel,9641605297,sales@kajaria.co.in,2024-11-19,Net 60,3.4,Y
V-1059,Roto Pumps,Plumbing Materials,Ahmedabad,Gujarat,33ZHFZT51613V6Z9,Timothy Nath,9218188355,sales@roto.co.in,2024-05-12,Advance 20% + Net 30,4.1,Y
