PONo,PODate,PRNo,VendorCode,VendorName,Vertical,ItemCode,ItemDescription,OrderedQty,UOM,UnitPrice,TotalAmount,Currency,PromisedDeliveryDate,PaymentTerms,ApprovedBy,Status,DeptCode,ProjectCode
PO-40054,2026-04-07,PR-30070,V-1007,Schneider Electric India,Electrical,I-5010,MCCB 200A,15,Nos,8116.63,121749.48,INR,2026-04-17,Net 30,Hemal Chad,Cancelled,DEP-05,PRJ-105
PO-40055,2026-05-21,PR-30071,V-1019,Sarvottam Plywood,Carpentry,I-5013,Laminate Sheet 1mm (8x4 ft),31,Sheet,1320.45,40933.84,INR,2026-06-05,Net 15,Hemal Chad,Closed,DEP-01,PRJ-101
PO-40056,2026-07-15,PR-30072,V-1037,RenewSys India,Solar Panels,I-5039,Earthing Kit for Module Structure,17,Set,832.49,14152.27,INR,2026-07-29,Net 45,Januja Pradhan,Closed,DEP-06,PRJ-106
PO-40057,2026-01-08,PR-30073,V-1048,Base Corporation,Batteries,I-5044,Inverter 2.5kVA Pure Sinewave,13,Nos,15795.52,205341.8,INR,2026-01-20,Net 30,Hemal Chad,Closed,DEP-02,PRJ-102
PO-40058,2026-04-02,PR-30074,V-1050,Astral Pipes,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),55,Pcs,1093.73,60155.32,INR,2026-04-08,Net 60,Balveer Kota,Partially Delivered,DEP-04,PRJ-104
PO-40059,2025-10-17,PR-30075,V-1026,Tata Steel,Road Construction Materials,I-5022,OPC 53 Grade Cement (50kg bag),13,Bag,350.51,4556.61,INR,2025-10-29,Net 60,David Seshadri,Closed,DEP-04,PRJ-104
PO-40060,2026-07-25,PR-30076,V-1035,Premier Energies,Solar Panels,I-5032,Solar Module 540Wp Mono PERC,51,Nos,12107.92,617503.8,INR,2026-08-15,Net 15,David Seshadri,Closed,DEP-04,PRJ-104
PO-40061,2026-01-08,PR-30078,V-1042,Luminous Power Technologies,Batteries,I-5047,Battery Interconnect Cable Set,27,Set,626.04,16903.07,INR,2026-01-22,Advance 20% + Net 30,Hemal Chad,Closed,DEP-03,PRJ-103
PO-40062,2025-09-20,PR-30079,V-1034,Goldi Solar,Solar Panels,I-5039,Earthing Kit for Module Structure,6,Set,724.83,4348.99,INR,2025-10-05,Advance 20% + Net 30,Januja Pradhan,Cancelled,DEP-01,PRJ-101
PO-40063,2026-04-14,PR-30081,V-1017,Hettich India,Carpentry,I-5017,Door Lock Mortise Set,27,Set,933.38,25201.15,INR,2026-05-03,Net 45,David Seshadri,Closed,DEP-03,PRJ-103
PO-40064,2025-10-28,PR-30082,V-1032,Adani Solar,Solar Panels,I-5037,MC4 Connector Pair,22,Pair,86.93,1912.46,INR,2025-11-11,Net 60,Balveer Kota,Closed,DEP-02,PRJ-102
PO-40065,2026-03-28,PR-30083,V-1009,Orient Electric,Electrical,I-5010,MCCB 200A,19,Nos,7663.44,145605.32,INR,2026-04-01,Net 15,Hemal Chad,Closed,DEP-01,PRJ-101
PO-40066,2026-03-14,PR-30084,V-1035,Premier Energies,Solar Panels,I-5039,Earthing Kit for Module Structure,48,Set,798.6,38332.8,INR,2026-03-24,Net 15,David Seshadri,Cancelled,DEP-01,PRJ-101
PO-40067,2026-03-22,PR-30085,V-1019,Sarvottam Plywood,Carpentry,I-5020,PVC Edge Banding Tape (100m roll),43,Roll,600.87,25837.28,INR,2026-04-09,Net 15,Hemal Chad,Closed,DEP-06,PRJ-106
PO-40068,2026-06-15,PR-30086,V-1032,Adani Solar,Solar Panels,I-5033,Solar Module 550Wp Bifacial,27,Nos,14628.07,394957.87,INR,2026-07-04,Net 60,Hemal Chad,Closed,DEP-03,PRJ-103
PO-40069,2026-07-17,PR-30087,V-1046,Livguard Energy,Batteries,I-5044,Inverter 2.5kVA Pure Sinewave,15,Nos,16237.6,243564.04,INR,2026-08-07,Net 15,Balveer Kota,Closed,DEP-04,PRJ-104
PO-40070,2025-11-07,PR-30088,V-1034,Goldi Solar,Solar Panels,I-5034,String Inverter 50kW,4,Nos,348007.29,1392029.16,INR,2025-11-15,Advance 20% + Net 30,Hemal Chad,Closed,DEP-05,PRJ-105
PO-40071,2026-07-17,PR-30089,V-1019,Sarvottam Plywood,Carpentry,I-5016,Drawer Channel 18 inch Telescopic,26,Pair,418.76,10887.75,INR,2026-07-30,Net 15,Januja Pradhan,Partially Delivered,DEP-05,PRJ-105
PO-40072,2026-06-26,PR-30090,V-1014,Duro Ply India,Carpentry,I-5015,Hinges SS 4 inch,26,Pair,87.71,2280.51,INR,2026-07-06,Net 30,Reva Viswanathan,Partially Delivered,DEP-05,PRJ-105
PO-40073,2026-02-13,PR-30091,V-1034,Goldi Solar,Solar Panels,I-5033,Solar Module 550Wp Bifacial,18,Nos,12642.08,227557.43,INR,2026-03-01,Advance 20% + Net 30,Hemal Chad,Closed,DEP-03,PRJ-103
PO-40074,2026-05-15,PR-30092,V-1025,Dalmia Bharat Cement,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),33,Drum,8976.53,296225.37,INR,2026-05-19,Net 60,Januja Pradhan,Closed,DEP-05,PRJ-105
PO-40075,2026-03-12,PR-30093,V-1008,KEI Industries,Electrical,I-5004,LED Flood Light 100W,13,Nos,1742.03,22646.36,INR,2026-03-17,Net 30,Reva Viswanathan,Closed,DEP-04,PRJ-104
PO-40076,2026-06-17,PR-30094,V-1020,UltraTech Cement,Road Construction Materials,I-5027,Ready Mix Concrete M25,42,Cum,5964.6,250512.99,INR,2026-06-24,Net 30,Reva Viswanathan,Open,DEP-01,PRJ-101
PO-40077,2026-07-07,PR-30095,V-1057,Hindware Homes,Plumbing Materials,I-5054,Water Tank 1000L HDPE,16,Nos,7189.73,115035.69,INR,2026-07-21,Net 45,David Seshadri,Closed,DEP-04,PRJ-104
PO-40078,2026-06-28,PR-30096,V-1019,Sarvottam Plywood,Carpentry,I-5021,Adhesive Fevicol SH (5kg),32,Can,1200.27,38408.74,INR,2026-07-05,Net 15,Hemal Chad,Partially Delivered,DEP-04,PRJ-104
PO-40079,2026-05-28,PR-30098,V-1002,Finolex Cables,Electrical,I-5002,MCB 32A Single Pole,23,Nos,147.14,3384.22,INR,2026-06-17,Advance 20% + Net 30,Balveer Kota,Closed,DEP-06,PRJ-106
PO-40080,2026-01-27,PR-30099,V-1017,Hettich India,Carpentry,I-5015,Hinges SS 4 inch,16,Pair,75.25,1204.02,INR,2026-02-14,Net 45,Balveer Kota,Closed,DEP-04,PRJ-104
PO-40081,2026-01-23,PR-30101,V-1013,Archidply Industries,Carpentry,I-5020,PVC Edge Banding Tape (100m roll),30,Roll,607.0,18209.9,INR,2026-02-11,Advance 20% + Net 30,Hemal Chad,Closed,DEP-04,PRJ-104
PO-40082,2026-02-17,PR-30103,V-1040,Exide Industries,Batteries,I-5046,Battery Rack 4-Tier MS,19,Nos,3075.12,58427.3,INR,2026-03-05,Net 45,Hemal Chad,Partially Delivered,DEP-02,PRJ-102
PO-40083,2025-11-11,PR-30105,V-1037,RenewSys India,Solar Panels,I-5039,Earthing Kit for Module Structure,24,Set,730.55,17533.19,INR,2025-11-19,Net 45,Balveer Kota,Closed,DEP-06,PRJ-106
PO-40084,2026-01-05,PR-30107,V-1004,V-Guard Industries,Electrical,I-5006,Cable Tray 300mm (2m length),7,Nos,918.74,6431.21,INR,2026-01-15,Advance 20% + Net 30,David Seshadri,Closed,DEP-02,PRJ-102
PO-40085,2026-03-12,PR-30108,V-1009,Orient Electric,Electrical,I-5004,LED Flood Light 100W,25,Nos,1881.48,47036.99,INR,2026-03-28,Net 15,Reva Viswanathan,Open,DEP-06,PRJ-106
PO-40086,2026-06-25,PR-30110,V-1053,Prince Pipes,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,24,Nos,309.24,7421.81,INR,2026-07-13,Net 15,Januja Pradhan,Closed,DEP-05,PRJ-105
PO-40087,2025-09-17,PR-30111,V-1026,Tata Steel,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),22,Drum,8197.11,180336.31,INR,2025-09-22,Net 60,David Seshadri,Closed,DEP-05,PRJ-105
PO-40088,2026-03-17,PR-30112,V-1048,Base Corporation,Batteries,I-5048,Battery Monitoring System (BMS module),24,Nos,4240.73,101777.52,INR,2026-03-31,Net 30,Januja Pradhan,Closed,DEP-02,PRJ-102
PO-40089,2026-06-02,PR-30113,V-1031,Waaree Energies,Solar Panels,I-5038,Combiner Box 6 in 1 out,22,Nos,6304.58,138700.79,INR,2026-06-18,Net 30,David Seshadri,Closed,DEP-06,PRJ-106
PO-40090,2026-03-26,PR-30114,V-1014,Duro Ply India,Carpentry,I-5012,Plywood 19mm BWP (8x4 ft),63,Sheet,3154.97,198763.22,INR,2026-04-16,Net 30,Januja Pradhan,Closed,DEP-01,PRJ-101
PO-40091,2026-03-02,PR-30116,V-1032,Adani Solar,Solar Panels,I-5032,Solar Module 540Wp Mono PERC,12,Nos,12109.85,145318.2,INR,2026-03-17,Net 60,Januja Pradhan,Closed,DEP-04,PRJ-104
PO-40092,2026-06-16,PR-30117,V-1037,RenewSys India,Solar Panels,I-5038,Combiner Box 6 in 1 out,5,Nos,6639.25,33196.27,INR,2026-06-21,Net 45,Hemal Chad,Closed,DEP-01,PRJ-101
PO-40093,2026-03-27,PR-30120,V-1035,Premier Energies,Solar Panels,I-5035,Module Mounting Structure (per kW),8,kW Set,4615.91,36927.29,INR,2026-04-07,Net 15,Reva Viswanathan,Closed,DEP-06,PRJ-106
PO-40094,2025-12-28,PR-30121,V-1026,Tata Steel,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),17,Roll,4429.22,75296.74,INR,2026-01-04,Net 60,Hemal Chad,Closed,DEP-03,PRJ-103
PO-40095,2026-04-30,PR-30122,V-1052,Finolex Pipes,Plumbing Materials,I-5057,Bathroom Faucet Single Lever,18,Nos,1802.08,32437.49,INR,2026-05-04,Net 45,David Seshadri,Closed,DEP-04,PRJ-104
PO-40096,2026-05-22,PR-30123,V-1007,Schneider Electric India,Electrical,I-5003,Distribution Board 8-Way,20,Nos,1376.57,27531.44,INR,2026-05-25,Net 30,Reva Viswanathan,Closed,DEP-06,PRJ-106
PO-40097,2025-10-30,PR-30124,V-1035,Premier Energies,Solar Panels,I-5034,String Inverter 50kW,15,Nos,330251.58,4953773.69,INR,2025-11-14,Net 15,Reva Viswanathan,Closed,DEP-06,PRJ-106
PO-40098,2025-10-24,PR-30125,V-1032,Adani Solar,Solar Panels,I-5032,Solar Module 540Wp Mono PERC,29,Nos,10596.87,307309.17,INR,2025-11-11,Net 60,Balveer Kota,Partially Delivered,DEP-01,PRJ-101
PO-40099,2026-01-25,PR-30126,V-1003,Anchor by Panasonic,Electrical,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),24,Coil,1428.58,34285.92,INR,2026-02-01,Net 15,Reva Viswanathan,Open,DEP-03,PRJ-103
PO-40100,2025-10-15,PR-30127,V-1021,ACC Limited,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,48,Ton,734.04,35234.12,INR,2025-10-30,Advance 20% + Net 30,Balveer Kota,Cancelled,DEP-05,PRJ-105
PO-40101,2026-05-16,PR-30128,V-1036,Emmvee Solar,Solar Panels,I-5039,Earthing Kit for Module Structure,61,Set,848.26,51744.13,INR,2026-05-28,Net 45,David Seshadri,Open,DEP-01,PRJ-101
PO-40102,2025-09-05,PR-30129,V-1026,Tata Steel,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,19,Ton,51968.23,987396.39,INR,2025-09-25,Net 60,Reva Viswanathan,Closed,DEP-03,PRJ-103
PO-40103,2026-03-20,PR-30130,V-1002,Finolex Cables,Electrical,I-5006,Cable Tray 300mm (2m length),12,Nos,973.2,11678.4,INR,2026-03-28,Advance 20% + Net 30,Balveer Kota,Closed,DEP-04,PRJ-104
PO-40104,2026-07-20,PR-30131,V-1026,Tata Steel,Road Construction Materials,I-5025,River Sand (fine aggregate),46,Ton,1369.1,62978.77,INR,2026-08-04,Net 60,Balveer Kota,Partially Delivered,DEP-01,PRJ-101
PO-40105,2025-09-17,PR-30134,V-1001,Polycab India,Electrical,I-5008,Earthing Strip GI 25x3mm,26,Mtr,82.17,2136.45,INR,2025-10-05,Net 30,Balveer Kota,Closed,DEP-05,PRJ-105
PO-40106,2026-06-04,PR-30136,V-1005,Crompton Greaves Consumer,Electrical,I-5005,Modular Switch 6A,6,Nos,71.22,427.3,INR,2026-06-08,Advance 20% + Net 30,Reva Viswanathan,Closed,DEP-05,PRJ-105
PO-40107,2026-04-23,PR-30137,V-1045,HBL Power Systems,Batteries,I-5045,VRLA SMF Battery 12V 100Ah,19,Nos,9390.09,178411.73,INR,2026-05-11,Net 45,Reva Viswanathan,Closed,DEP-05,PRJ-105
PO-40108,2026-05-03,PR-30138,V-1031,Waaree Energies,Solar Panels,I-5037,MC4 Connector Pair,11,Pair,91.1,1002.08,INR,2026-05-16,Net 30,Hemal Chad,Closed,DEP-02,PRJ-102
PO-40109,2026-03-31,PR-30139,V-1059,Roto Pumps,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,61,Nos,281.91,17196.67,INR,2026-04-17,Advance 20% + Net 30,Reva Viswanathan,Closed,DEP-04,PRJ-104
PO-40110,2025-12-15,PR-30140,V-1015,Action Tesa,Carpentry,I-5017,Door Lock Mortise Set,11,Set,913.73,10051.0,INR,2025-12-30,Net 30,Januja Pradhan,Closed,DEP-05,PRJ-105
PO-40111,2025-10-15,PR-30141,V-1052,Finolex Pipes,Plumbing Materials,I-5059,Pipe Clamp GI 4 inch,21,Nos,51.29,1077.0,INR,2025-10-30,Net 45,Hemal Chad,Closed,DEP-03,PRJ-103
PO-40112,2025-11-14,PR-30142,V-1007,Schneider Electric India,Electrical,I-5004,LED Flood Light 100W,24,Nos,1722.25,41333.91,INR,2025-11-23,Net 30,Januja Pradhan,Partially Delivered,DEP-05,PRJ-105
PO-40113,2026-06-14,PR-30143,V-1035,Premier Energies,Solar Panels,I-5039,Earthing Kit for Module Structure,13,Set,889.04,11557.51,INR,2026-06-18,Net 15,Reva Viswanathan,Open,DEP-04,PRJ-104
PO-40114,2026-04-20,PR-30144,V-1053,Prince Pipes,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),44,Pcs,1155.56,50844.68,INR,2026-05-11,Net 15,Januja Pradhan,Closed,DEP-03,PRJ-103
PO-40115,2026-07-08,PR-30145,V-1028,Birla Corporation,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),21,Drum,9204.07,193285.52,INR,2026-07-15,Net 60,Reva Viswanathan,Cancelled,DEP-05,PRJ-105
PO-40116,2025-11-13,PR-30146,V-1052,Finolex Pipes,Plumbing Materials,I-5052,PVC Elbow 4 inch,35,Nos,79.31,2775.76,INR,2025-11-24,Net 45,Reva Viswanathan,Closed,DEP-01,PRJ-101
PO-40117,2026-02-16,PR-30147,V-1027,JSW Steel,Road Construction Materials,I-5029,Wire Mesh Fabric 6mm@150c/c,12,Ton,56078.95,672947.39,INR,2026-02-21,Advance 20% + Net 30,Reva Viswanathan,Open,DEP-03,PRJ-103
