Month,Vertical,ItemCode,ItemDescription,VendorCode,UnitPrice,StandardPrice
2026-08,Road Construction Materials,I-5028,PQC Dowel Bar 32mm,V-1025,62097.2,64500
2026-02,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),V-1059,1059.98,1150
2026-01,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1032,809.09,850
2026-01,Carpentry,I-5018,Wood Screws 2 inch (box of 100),V-1017,175.55,180
2026-07,Batteries,I-5043,Lithium-ion Battery Pack 48V 100Ah,V-1042,114286.23,118000
2026-05,Batteries,I-5046,Battery Rack 4-Tier MS,V-1042,3501.11,3400
2025-09,Electrical,I-5006,Cable Tray 300mm (2m length),V-1009,829.78,980
2026-02,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1037,779.81,850
2026-07,Plumbing Materials,I-5056,Concealed Cistern with Frame,V-1054,9052.28,8500
2025-10,Solar Panels,I-5037,MC4 Connector Pair,V-1033,79.61,95
2026-02,Batteries,I-5045,VRLA SMF Battery 12V 100Ah,V-1048,9827.33,9800
2026-05,Electrical,I-5006,Cable Tray 300mm (2m length),V-1001,1022.7,980
2026-03,Electrical,I-5007,Junction Box IP65,V-1001,194.28,210
2025-10,Solar Panels,I-5038,Combiner Box 6 in 1 out,V-1033,5950.57,6500
2025-11,Batteries,I-5047,Battery Interconnect Cable Set,V-1045,561.63,650
2026-05,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),V-1028,4482.31,4800
2026-02,Carpentry,I-5016,Drawer Channel 18 inch Telescopic,V-1012,390.37,420
2025-11,Solar Panels,I-5032,Solar Module 540Wp Mono PERC,V-1036,11450.15,12800
2025-09,Solar Panels,I-5036,DC Cable 4 sqmm Solar Grade (100m),V-1033,2723.26,3200
2026-06,Plumbing Materials,I-5055,Sanitaryware Wash Basin,V-1050,2367.28,2450
2025-11,Electrical,I-5010,MCCB 200A,V-1002,7640.11,8200
2026-06,Batteries,I-5049,Deep Cycle Battery 200Ah,V-1047,20476.14,21500
2026-08,Plumbing Materials,I-5059,Pipe Clamp GI 4 inch,V-1055,69.49,65
2026-04,Plumbing Materials,I-5056,Concealed Cistern with Frame,V-1055,8038.22,8500
2026-02,Electrical,I-5005,Modular Switch 6A,V-1004,65.86,65
2026-04,Electrical,I-5010,MCCB 200A,V-1007,8116.63,8200
2026-05,Carpentry,I-5013,Laminate Sheet 1mm (8x4 ft),V-1019,1320.45,1250
2026-07,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1037,832.49,850
2026-01,Batteries,I-5044,Inverter 2.5kVA Pure Sinewave,V-1048,15795.52,16500
2026-04,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),V-1050,1093.73,1150
2025-10,Road Construction Materials,I-5022,OPC 53 Grade Cement (50kg bag),V-1026,350.51,385
2026-07,Solar Panels,I-5032,Solar Module 540Wp Mono PERC,V-1035,12107.92,12800
2026-01,Batteries,I-5047,Battery Interconnect Cable Set,V-1042,626.04,650
2025-09,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1034,724.83,850
2026-04,Carpentry,I-5017,Door Lock Mortise Set,V-1017,933.38,950
2025-10,Solar Panels,I-5037,MC4 Connector Pair,V-1032,86.93,95
2026-03,Electrical,I-5010,MCCB 200A,V-1009,7663.44,8200
2026-03,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1035,798.6,850
2026-03,Carpentry,I-5020,PVC Edge Banding Tape (100m roll),V-1019,600.87,650
2026-06,Solar Panels,I-5033,Solar Module 550Wp Bifacial,V-1032,14628.07,14200
2026-07,Batteries,I-5044,Inverter 2.5kVA Pure Sinewave,V-1046,16237.6,16500
2025-11,Solar Panels,I-5034,String Inverter 50kW,V-1034,348007.29,385000
2026-07,Carpentry,I-5016,Drawer Channel 18 inch Telescopic,V-1019,418.76,420
2026-06,Carpentry,I-5015,Hinges SS 4 inch,V-1014,87.71,85
2026-02,Solar Panels,I-5033,Solar Module 550Wp Bifacial,V-1034,12642.08,14200
2026-05,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),V-1025,8976.53,9800
2026-03,Electrical,I-5004,LED Flood Light 100W,V-1008,1742.03,1850
2026-06,Road Construction Materials,I-5027,Ready Mix Concrete M25,V-1020,5964.6,6200
2026-07,Plumbing Materials,I-5054,Water Tank 1000L HDPE,V-1057,7189.73,6800
2026-06,Carpentry,I-5021,Adhesive Fevicol SH (5kg),V-1019,1200.27,1150
2026-05,Electrical,I-5002,MCB 32A Single Pole,V-1002,147.14,145
2026-01,Carpentry,I-5015,Hinges SS 4 inch,V-1017,75.25,85
2026-01,Carpentry,I-5020,PVC Edge Banding Tape (100m roll),V-1013,607.0,650
2026-02,Batteries,I-5046,Battery Rack 4-Tier MS,V-1040,3075.12,3400
2025-11,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1037,730.55,850
2026-01,Electrical,I-5006,Cable Tray 300mm (2m length),V-1004,918.74,980
2026-03,Electrical,I-5004,LED Flood Light 100W,V-1009,1881.48,1850
2026-06,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,V-1053,309.24,320
2025-09,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),V-1026,8197.11,9800
2026-03,Batteries,I-5048,Battery Monitoring System (BMS module),V-1048,4240.73,4200
2026-06,Solar Panels,I-5038,Combiner Box 6 in 1 out,V-1031,6304.58,6500
2026-03,Carpentry,I-5012,Plywood 19mm BWP (8x4 ft),V-1014,3154.97,3450
2026-03,Solar Panels,I-5032,Solar Module 540Wp Mono PERC,V-1032,12109.85,12800
2026-06,Solar Panels,I-5038,Combiner Box 6 in 1 out,V-1037,6639.25,6500
2026-03,Solar Panels,I-5035,Module Mounting Structure (per kW),V-1035,4615.91,4800
2025-12,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),V-1026,4429.22,4800
2026-04,Plumbing Materials,I-5057,Bathroom Faucet Single Lever,V-1052,1802.08,1850
2026-05,Electrical,I-5003,Distribution Board 8-Way,V-1007,1376.57,1250
2025-10,Solar Panels,I-5034,String Inverter 50kW,V-1035,330251.58,385000
2025-10,Solar Panels,I-5032,Solar Module 540Wp Mono PERC,V-1032,10596.87,12800
2026-01,Electrical,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),V-1003,1428.58,1650
2025-10,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,V-1021,734.04,850
2026-05,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1036,848.26,850
2025-09,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,V-1026,51968.23,62000
2026-03,Electrical,I-5006,Cable Tray 300mm (2m length),V-1002,973.2,980
2026-07,Road Construction Materials,I-5025,River Sand (fine aggregate),V-1026,1369.1,1450
2025-09,Electrical,I-5008,Earthing Strip GI 25x3mm,V-1001,82.17,95
2026-06,Electrical,I-5005,Modular Switch 6A,V-1005,71.22,65
2026-04,Batteries,I-5045,VRLA SMF Battery 12V 100Ah,V-1045,9390.09,9800
2026-05,Solar Panels,I-5037,MC4 Connector Pair,V-1031,91.1,95
2026-03,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,V-1059,281.91,320
2025-12,Carpentry,I-5017,Door Lock Mortise Set,V-1015,913.73,950
2025-10,Plumbing Materials,I-5059,Pipe Clamp GI 4 inch,V-1052,51.29,65
2025-11,Electrical,I-5004,LED Flood Light 100W,V-1007,1722.25,1850
2026-06,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1035,889.04,850
2026-04,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),V-1053,1155.56,1150
2026-07,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),V-1028,9204.07,9800
2025-11,Plumbing Materials,I-5052,PVC Elbow 4 inch,V-1052,79.31,95
2026-02,Road Construction Materials,I-5029,Wire Mesh Fabric 6mm@150c/c,V-1027,56078.95,58500
2026-06,Solar Panels,I-5034,String Inverter 50kW,V-1037,364018.48,385000
2025-09,Plumbing Materials,I-5052,PVC Elbow 4 inch,V-1051,75.59,95
2025-11,Plumbing Materials,I-5056,Concealed Cistern with Frame,V-1055,6807.04,8500
2026-07,Road Construction Materials,I-5025,River Sand (fine aggregate),V-1021,1477.42,1450
2026-07,Electrical,I-5008,Earthing Strip GI 25x3mm,V-1004,97.96,95
2026-04,Electrical,I-5009,Contactor 40A 3 Pole,V-1001,1369.14,1450
2026-07,Solar Panels,I-5033,Solar Module 550Wp Bifacial,V-1033,13587.14,14200
2025-10,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,V-1054,268.05,320
2025-11,Electrical,I-5004,LED Flood Light 100W,V-1009,1567.48,1850
2025-12,Solar Panels,I-5033,Solar Module 550Wp Bifacial,V-1037,12536.03,14200
2026-01,Plumbing Materials,I-5055,Sanitaryware Wash Basin,V-1058,2092.24,2450
2026-02,Carpentry,I-5021,Adhesive Fevicol SH (5kg),V-1013,1158.54,1150
2025-10,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),V-1022,9365.19,9800
2026-07,Electrical,I-5002,MCB 32A Single Pole,V-1003,170.31,145
2025-12,Electrical,I-5005,Modular Switch 6A,V-1004,55.83,65
2025-09,Batteries,I-5044,Inverter 2.5kVA Pure Sinewave,V-1041,13920.98,16500
2025-09,Carpentry,I-5013,Laminate Sheet 1mm (8x4 ft),V-1015,1000.13,1250
2025-12,Electrical,I-5003,Distribution Board 8-Way,V-1004,1145.43,1250
2026-03,Batteries,I-5048,Battery Monitoring System (BMS module),V-1046,3985.71,4200
2025-10,Plumbing Materials,I-5052,PVC Elbow 4 inch,V-1053,73.57,95
2026-06,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),V-1022,4644.66,4800
2026-02,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,V-1028,819.58,850
2026-08,Batteries,I-5049,Deep Cycle Battery 200Ah,V-1043,22284.74,21500
2025-12,Batteries,I-5042,Tubular Battery 150Ah C10,V-1041,13611.25,14500
2026-04,Solar Panels,I-5037,MC4 Connector Pair,V-1031,89.19,95
2025-11,Batteries,I-5045,VRLA SMF Battery 12V 100Ah,V-1041,8711.12,9800
2026-07,Plumbing Materials,I-5052,PVC Elbow 4 inch,V-1058,98.32,95
2026-01,Electrical,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),V-1004,1469.19,1650
2025-11,Batteries,I-5042,Tubular Battery 150Ah C10,V-1049,13063.51,14500
2026-03,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,V-1029,59527.25,62000
2025-12,Plumbing Materials,I-5056,Concealed Cistern with Frame,V-1051,7821.89,8500
2025-10,Solar Panels,I-5038,Combiner Box 6 in 1 out,V-1039,6113.9,6500
2026-01,Carpentry,I-5019,Veneer Sheet Teak (8x4 ft),V-1017,3757.48,4200
2026-05,Electrical,I-5011,Cable Gland Brass 25mm,V-1003,53.55,55
2026-01,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),V-1055,1040.12,1150
2026-01,Carpentry,I-5015,Hinges SS 4 inch,V-1012,73.09,85
2026-02,Carpentry,I-5019,Veneer Sheet Teak (8x4 ft),V-1015,3687.81,4200
2025-12,Plumbing Materials,I-5054,Water Tank 1000L HDPE,V-1055,5839.11,6800
2025-12,Batteries,I-5047,Battery Interconnect Cable Set,V-1044,586.83,650
2026-02,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),V-1029,4510.28,4800
2026-04,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),V-1022,4529.66,4800
2026-07,Electrical,I-5006,Cable Tray 300mm (2m length),V-1005,1086.53,980
2026-03,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,V-1024,56472.44,62000
2025-09,Electrical,I-5006,Cable Tray 300mm (2m length),V-1002,820.49,980
2025-11,Batteries,I-5042,Tubular Battery 150Ah C10,V-1043,13591.09,14500
2025-11,Solar Panels,I-5041,Solar Cable Gland Set,V-1034,125.3,145
2025-10,Electrical,I-5010,MCCB 200A,V-1001,7249.94,8200
2026-04,Road Construction Materials,I-5027,Ready Mix Concrete M25,V-1022,5462.55,6200
2026-01,Road Construction Materials,I-5029,Wire Mesh Fabric 6mm@150c/c,V-1022,56748.37,58500
2026-07,Solar Panels,I-5034,String Inverter 50kW,V-1032,411816.14,385000
2026-02,Batteries,I-5045,VRLA SMF Battery 12V 100Ah,V-1043,9411.6,9800
2026-05,Plumbing Materials,I-5051,CPVC Pipe 1 inch (3m length),V-1056,380.33,380
2026-06,Road Construction Materials,I-5022,OPC 53 Grade Cement (50kg bag),V-1028,377.44,385
2026-04,Solar Panels,I-5037,MC4 Connector Pair,V-1034,90.45,95
2026-04,Batteries,I-5049,Deep Cycle Battery 200Ah,V-1040,19184.08,21500
2026-04,Plumbing Materials,I-5054,Water Tank 1000L HDPE,V-1058,6592.64,6800
2026-05,Solar Panels,I-5034,String Inverter 50kW,V-1039,382972.49,385000
2025-12,Solar Panels,I-5036,DC Cable 4 sqmm Solar Grade (100m),V-1038,3078.13,3200
2026-06,Plumbing Materials,I-5055,Sanitaryware Wash Basin,V-1055,2615.06,2450
2026-03,Batteries,I-5043,Lithium-ion Battery Pack 48V 100Ah,V-1044,113245.59,118000
2026-06,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),V-1028,4910.21,4800
2026-03,Electrical,I-5010,MCCB 200A,V-1000,7776.37,8200
2026-06,Electrical,I-5008,Earthing Strip GI 25x3mm,V-1006,107.0,95
2025-09,Electrical,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),V-1006,1442.2,1650
2026-01,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,V-1023,54368.52,62000
2025-11,Solar Panels,I-5040,Anti-Reflective Glass Panel (spare),V-1031,2813.54,3100
2026-06,Carpentry,I-5014,MDF Board 12mm (8x4 ft),V-1011,1591.77,1650
2026-02,Electrical,I-5003,Distribution Board 8-Way,V-1009,1208.04,1250
2026-02,Electrical,I-5011,Cable Gland Brass 25mm,V-1002,52.92,55
2026-06,Electrical,I-5009,Contactor 40A 3 Pole,V-1008,1503.04,1450
2026-08,Road Construction Materials,I-5022,OPC 53 Grade Cement (50kg bag),V-1028,359.47,385
2025-10,Batteries,I-5045,VRLA SMF Battery 12V 100Ah,V-1045,9347.61,9800
2026-06,Batteries,I-5046,Battery Rack 4-Tier MS,V-1041,3363.16,3400
2025-11,Plumbing Materials,I-5057,Bathroom Faucet Single Lever,V-1055,1499.72,1850
2025-09,Solar Panels,I-5038,Combiner Box 6 in 1 out,V-1030,5790.33,6500
2025-10,Batteries,I-5046,Battery Rack 4-Tier MS,V-1046,2950.16,3400
2025-11,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,V-1022,760.51,850
2025-09,Solar Panels,I-5037,MC4 Connector Pair,V-1036,86.47,95
2025-09,Road Construction Materials,I-5025,River Sand (fine aggregate),V-1026,1292.66,1450
2025-12,Solar Panels,I-5038,Combiner Box 6 in 1 out,V-1037,5997.7,6500
2025-12,Plumbing Materials,I-5051,CPVC Pipe 1 inch (3m length),V-1050,339.73,380
2026-07,Batteries,I-5049,Deep Cycle Battery 200Ah,V-1046,21541.56,21500
2026-01,Plumbing Materials,I-5058,Submersible Pump 1HP,V-1052,7916.19,9200
2025-09,Solar Panels,I-5040,Anti-Reflective Glass Panel (spare),V-1039,2836.84,3100
2026-04,Solar Panels,I-5035,Module Mounting Structure (per kW),V-1031,4409.25,4800
2026-05,Plumbing Materials,I-5059,Pipe Clamp GI 4 inch,V-1050,68.15,65
2026-01,Solar Panels,I-5032,Solar Module 540Wp Mono PERC,V-1032,11192.42,12800
2026-01,Road Construction Materials,I-5025,River Sand (fine aggregate),V-1029,1397.11,1450
2026-03,Plumbing Materials,I-5057,Bathroom Faucet Single Lever,V-1058,1666.94,1850
2026-04,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,V-1023,749.14,850
2026-05,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,V-1024,850.4,850
2026-05,Carpentry,I-5014,MDF Board 12mm (8x4 ft),V-1015,1660.46,1650
2026-02,Electrical,I-5011,Cable Gland Brass 25mm,V-1006,51.4,55
2025-10,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1035,793.58,850
2026-04,Solar Panels,I-5036,DC Cable 4 sqmm Solar Grade (100m),V-1030,2965.73,3200
2025-10,Batteries,I-5043,Lithium-ion Battery Pack 48V 100Ah,V-1043,103716.98,118000
2026-01,Plumbing Materials,I-5058,Submersible Pump 1HP,V-1059,8333.21,9200
2026-02,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,V-1027,772.47,850
2026-04,Solar Panels,I-5035,Module Mounting Structure (per kW),V-1036,4758.03,4800
2026-04,Batteries,I-5046,Battery Rack 4-Tier MS,V-1049,3319.39,3400
2026-01,Carpentry,I-5013,Laminate Sheet 1mm (8x4 ft),V-1010,1087.9,1250
2025-10,Electrical,I-5006,Cable Tray 300mm (2m length),V-1000,870.82,980
2026-02,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),V-1024,9129.44,9800
2026-03,Batteries,I-5043,Lithium-ion Battery Pack 48V 100Ah,V-1049,111558.67,118000
2025-10,Solar Panels,I-5040,Anti-Reflective Glass Panel (spare),V-1037,2851.65,3100
2026-06,Solar Panels,I-5035,Module Mounting Structure (per kW),V-1039,5050.0,4800
2025-09,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,V-1028,778.85,850
2025-09,Solar Panels,I-5033,Solar Module 550Wp Bifacial,V-1030,11895.33,14200
2026-04,Electrical,I-5008,Earthing Strip GI 25x3mm,V-1001,96.53,95
2026-06,Solar Panels,I-5034,String Inverter 50kW,V-1037,389500.77,385000
2026-02,Plumbing Materials,I-5058,Submersible Pump 1HP,V-1053,8236.78,9200
2025-09,Plumbing Materials,I-5059,Pipe Clamp GI 4 inch,V-1055,50.16,65
2025-10,Carpentry,I-5016,Drawer Channel 18 inch Telescopic,V-1017,354.94,420
2026-02,Plumbing Materials,I-5055,Sanitaryware Wash Basin,V-1059,2325.71,2450
2026-04,Solar Panels,I-5038,Combiner Box 6 in 1 out,V-1032,6566.05,6500
2026-05,Electrical,I-5002,MCB 32A Single Pole,V-1008,152.32,145
2026-07,Carpentry,I-5017,Door Lock Mortise Set,V-1017,1010.9,950
2026-01,Plumbing Materials,I-5052,PVC Elbow 4 inch,V-1055,84.56,95
2026-08,Electrical,I-5009,Contactor 40A 3 Pole,V-1009,1712.99,1450
2026-07,Plumbing Materials,I-5057,Bathroom Faucet Single Lever,V-1050,1955.43,1850
2026-06,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),V-1056,1114.77,1150
2025-12,Electrical,I-5008,Earthing Strip GI 25x3mm,V-1002,84.83,95
2026-04,Plumbing Materials,I-5056,Concealed Cistern with Frame,V-1053,7968.83,8500
2025-11,Road Construction Materials,I-5029,Wire Mesh Fabric 6mm@150c/c,V-1026,50610.89,58500
2026-01,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1036,813.75,850
2026-05,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,V-1050,318.77,320
2025-10,Batteries,I-5049,Deep Cycle Battery 200Ah,V-1046,19535.34,21500
2025-11,Solar Panels,I-5034,String Inverter 50kW,V-1036,348282.29,385000
2025-10,Plumbing Materials,I-5052,PVC Elbow 4 inch,V-1052,76.1,95
2026-04,Batteries,I-5042,Tubular Battery 150Ah C10,V-1043,14629.58,14500
2025-09,Solar Panels,I-5035,Module Mounting Structure (per kW),V-1039,4406.53,4800
2026-01,Batteries,I-5043,Lithium-ion Battery Pack 48V 100Ah,V-1048,110157.55,118000
2026-04,Batteries,I-5046,Battery Rack 4-Tier MS,V-1042,3191.59,3400
2025-11,Electrical,I-5010,MCCB 200A,V-1005,7098.23,8200
2025-11,Road Construction Materials,I-5022,OPC 53 Grade Cement (50kg bag),V-1022,370.55,385
2026-06,Solar Panels,I-5040,Anti-Reflective Glass Panel (spare),V-1032,2916.71,3100
2025-09,Solar Panels,I-5037,MC4 Connector Pair,V-1034,82.58,95
2025-10,Batteries,I-5044,Inverter 2.5kVA Pure Sinewave,V-1048,14812.52,16500
2026-06,Batteries,I-5042,Tubular Battery 150Ah C10,V-1048,13751.4,14500
2026-06,Solar Panels,I-5035,Module Mounting Structure (per kW),V-1039,5007.6,4800
2026-04,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,V-1027,61340.02,62000
2025-10,Batteries,I-5049,Deep Cycle Battery 200Ah,V-1043,19331.24,21500
2025-12,Road Construction Materials,I-5029,Wire Mesh Fabric 6mm@150c/c,V-1021,50456.54,58500
2025-12,Road Construction Materials,I-5027,Ready Mix Concrete M25,V-1028,5884.38,6200
2026-02,Batteries,I-5048,Battery Monitoring System (BMS module),V-1040,4156.88,4200
2026-02,Road Construction Materials,I-5028,PQC Dowel Bar 32mm,V-1024,62799.84,64500
2026-03,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),V-1022,4526.0,4800
2026-05,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1039,801.78,850
2026-05,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),V-1021,4555.16,4800
2026-06,Road Construction Materials,I-5029,Wire Mesh Fabric 6mm@150c/c,V-1020,54633.82,58500
2026-01,Batteries,I-5042,Tubular Battery 150Ah C10,V-1049,13022.24,14500
2026-05,Carpentry,I-5015,Hinges SS 4 inch,V-1019,90.87,85
2026-07,Batteries,I-5042,Tubular Battery 150Ah C10,V-1044,14110.86,14500
2025-10,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),V-1055,996.14,1150
2026-05,Electrical,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),V-1000,1659.64,1650
2026-08,Electrical,I-5010,MCCB 200A,V-1004,8906.29,8200
2026-03,Carpentry,I-5012,Plywood 19mm BWP (8x4 ft),V-1011,3172.37,3450
2025-10,Plumbing Materials,I-5054,Water Tank 1000L HDPE,V-1057,5237.16,6800
2025-11,Road Construction Materials,I-5029,Wire Mesh Fabric 6mm@150c/c,V-1021,52200.31,58500
2026-03,Solar Panels,I-5036,DC Cable 4 sqmm Solar Grade (100m),V-1033,3036.66,3200
2025-09,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),V-1058,875.21,1150
2026-08,Electrical,I-5011,Cable Gland Brass 25mm,V-1001,65.25,55
2025-11,Solar Panels,I-5037,MC4 Connector Pair,V-1039,88.79,95
2026-07,Electrical,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),V-1000,1715.02,1650
2026-01,Solar Panels,I-5038,Combiner Box 6 in 1 out,V-1031,6038.43,6500
2026-05,Road Construction Materials,I-5030,Kerb Stone Precast,V-1021,187.86,210
2025-09,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1031,742.3,850
2026-01,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,V-1029,53713.35,62000
2025-12,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),V-1027,8494.17,9800
2025-10,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,V-1057,267.42,320
2026-05,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),V-1051,1139.72,1150
2026-08,Road Construction Materials,I-5025,River Sand (fine aggregate),V-1029,1411.58,1450
2025-12,Plumbing Materials,I-5056,Concealed Cistern with Frame,V-1055,6957.03,8500
2026-05,Batteries,I-5042,Tubular Battery 150Ah C10,V-1040,13963.54,14500
2025-12,Solar Panels,I-5041,Solar Cable Gland Set,V-1036,132.77,145
2026-07,Plumbing Materials,I-5057,Bathroom Faucet Single Lever,V-1057,1855.35,1850
2026-05,Electrical,I-5003,Distribution Board 8-Way,V-1007,1379.99,1250
2026-05,Solar Panels,I-5037,MC4 Connector Pair,V-1039,93.14,95
2026-07,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,V-1022,863.71,850
2025-11,Road Construction Materials,I-5027,Ready Mix Concrete M25,V-1026,5936.54,6200
2025-11,Plumbing Materials,I-5059,Pipe Clamp GI 4 inch,V-1050,56.86,65
2025-12,Carpentry,I-5020,PVC Edge Banding Tape (100m roll),V-1011,601.67,650
2026-03,Batteries,I-5047,Battery Interconnect Cable Set,V-1041,648.63,650
2025-11,Batteries,I-5048,Battery Monitoring System (BMS module),V-1048,4088.82,4200
2026-05,Batteries,I-5046,Battery Rack 4-Tier MS,V-1044,3132.23,3400
2026-07,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,V-1027,61237.82,62000
2025-10,Electrical,I-5002,MCB 32A Single Pole,V-1004,115.7,145
2026-03,Batteries,I-5046,Battery Rack 4-Tier MS,V-1044,3063.14,3400
2026-03,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),V-1024,8765.91,9800
2026-04,Electrical,I-5007,Junction Box IP65,V-1007,215.27,210
2025-09,Carpentry,I-5017,Door Lock Mortise Set,V-1012,788.67,950
2025-09,Electrical,I-5008,Earthing Strip GI 25x3mm,V-1009,78.28,95
2025-11,Batteries,I-5047,Battery Interconnect Cable Set,V-1048,609.49,650
2026-05,Road Construction Materials,I-5022,OPC 53 Grade Cement (50kg bag),V-1022,346.03,385
