PRNo,PRDate,DeptCode,DeptName,ProjectCode,ProjectName,ItemCode,ItemDescription,Vertical,RequestedQty,UOM,RequiredByDate,RequestedBy,Priority,Status
PR-30025,2026-02-17,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5058,Submersible Pump 1HP,Plumbing Materials,22,Nos,2026-03-07,Ekantika Mutti,Medium,Converted to PO
PR-30026,2025-12-26,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5046,Battery Rack 4-Tier MS,Batteries,7,Nos,2026-01-13,Warinder Chauhan,Medium,Converted to PO
PR-30027,2025-09-27,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5024,Crushed Stone Aggregate 20mm,Road Construction Materials,35,Ton,2025-10-12,Daksh Pandey,High,Rejected
PR-30028,2026-06-23,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5023,TMT Steel Bar Fe500D 12mm,Road Construction Materials,25,Ton,2026-07-20,Michael Borra,High,Converted to PO
PR-30029,2026-04-08,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5021,Adhesive Fevicol SH (5kg),Carpentry,13,Can,2026-04-24,Warinder Chauhan,Medium,Converted to PO
PR-30030,2026-01-26,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5015,Hinges SS 4 inch,Carpentry,17,Pair,2026-02-24,Ekanta Soni,Medium,Converted to PO
PR-30031,2026-01-26,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5041,Solar Cable Gland Set,Solar Panels,7,Set,2026-02-16,Yashica Rajagopalan,Medium,Converted to PO
PR-30032,2026-01-16,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5042,Tubular Battery 150Ah C10,Batteries,19,Nos,2026-02-10,Benjamin Sengupta,High,Converted to PO
PR-30033,2026-01-26,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5029,Wire Mesh Fabric 6mm@150c/c,Road Construction Materials,24,Ton,2026-02-23,Ekanta Soni,Medium,Rejected
PR-30034,2026-01-08,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5027,Ready Mix Concrete M25,Road Construction Materials,20,Cum,2026-01-25,Benjamin Sengupta,Medium,Converted to PO
PR-30035,2026-04-13,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5004,LED Flood Light 100W,Electrical,22,Nos,2026-05-12,Warinder Chauhan,Low,Converted to PO
PR-30036,2026-05-19,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5026,Bitumen VG-30 (drum 180kg),Road Construction Materials,18,Drum,2026-06-17,Ekanta Soni,Medium,Converted to PO
PR-30037,2026-01-23,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5012,Plywood 19mm BWP (8x4 ft),Carpentry,40,Sheet,2026-02-22,Baljiwan Bhandari,Medium,Converted to PO
PR-30038,2026-06-20,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5053,Ball Valve 1 inch Brass,Plumbing Materials,12,Nos,2026-07-09,Benjamin Sengupta,Medium,Converted to PO
PR-30039,2026-03-29,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5002,MCB 32A Single Pole,Electrical,64,Nos,2026-04-25,Aahana Hora,Medium,Rejected
PR-30040,2026-07-30,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5028,PQC Dowel Bar 32mm,Road Construction Materials,15,Ton,2026-08-08,Ekanta Soni,Medium,Converted to PO
PR-30041,2026-07-22,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),Electrical,22,Coil,2026-08-20,Daksh Pandey,High,Pending Approval
PR-30042,2026-02-14,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),Plumbing Materials,15,Pcs,2026-02-22,Ria Bir,Medium,Converted to PO
PR-30043,2026-01-09,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5039,Earthing Kit for Module Structure,Solar Panels,10,Set,2026-02-06,Benjamin Sengupta,Medium,Converted to PO
PR-30044,2026-01-19,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5018,Wood Screws 2 inch (box of 100),Carpentry,11,Box,2026-01-26,Bhavini Bose,Medium,Converted to PO
PR-30045,2026-07-19,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5043,Lithium-ion Battery Pack 48V 100Ah,Batteries,24,Nos,2026-08-15,Benjamin Sengupta,Medium,Converted to PO
PR-30046,2026-05-05,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5046,Battery Rack 4-Tier MS,Batteries,18,Nos,2026-05-21,Ria Bir,Low,Converted to PO
PR-30047,2025-09-08,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5006,Cable Tray 300mm (2m length),Electrical,24,Nos,2025-09-23,Daksh Pandey,Medium,Converted to PO
PR-30048,2026-02-02,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5039,Earthing Kit for Module Structure,Solar Panels,11,Set,2026-03-01,Michael Borra,High,Converted to PO
PR-30049,2026-06-28,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5056,Concealed Cistern with Frame,Plumbing Materials,26,Set,2026-07-28,Riya Mitter,Medium,Converted to PO
PR-30050,2025-10-02,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5037,MC4 Connector Pair,Solar Panels,34,Pair,2025-10-21,Aahana Hora,Low,Converted to PO
PR-30051,2026-02-16,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5045,VRLA SMF Battery 12V 100Ah,Batteries,56,Nos,2026-02-27,Baljiwan Bhandari,High,Converted to PO
PR-30052,2026-05-28,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5006,Cable Tray 300mm (2m length),Electrical,11,Nos,2026-06-07,Daksh Pandey,Medium,Converted to PO
PR-30053,2026-03-25,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5007,Junction Box IP65,Electrical,36,Nos,2026-04-14,Daksh Pandey,Medium,Converted to PO
PR-30054,2025-10-21,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5038,Combiner Box 6 in 1 out,Solar Panels,23,Nos,2025-11-19,Bhavini Bose,Medium,Converted to PO
PR-30055,2025-11-06,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5047,Battery Interconnect Cable Set,Batteries,25,Set,2025-11-30,Dayita Shenoy,Medium,Converted to PO
PR-30056,2026-05-18,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5031,Geotextile Fabric (roll 100m2),Road Construction Materials,34,Roll,2026-05-31,Daksh Pandey,High,Converted to PO
PR-30057,2025-09-14,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5040,Anti-Reflective Glass Panel (spare),Solar Panels,80,Nos,2025-10-10,Ekanta Soni,Medium,Rejected
PR-30058,2026-02-21,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5016,Drawer Channel 18 inch Telescopic,Carpentry,11,Pair,2026-03-11,Ekanta Soni,High,Converted to PO
PR-30059,2025-11-19,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5032,Solar Module 540Wp Mono PERC,Solar Panels,28,Nos,2025-12-01,Warinder Chauhan,Medium,Converted to PO
PR-30060,2025-09-24,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5036,DC Cable 4 sqmm Solar Grade (100m),Solar Panels,15,Coil,2025-10-08,Baljiwan Bhandari,High,Converted to PO
PR-30061,2025-10-07,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5037,MC4 Connector Pair,Solar Panels,34,Pair,2025-10-26,Warinder Chauhan,Medium,Pending Approval
PR-30062,2026-06-22,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5055,Sanitaryware Wash Basin,Plumbing Materials,32,Nos,2026-07-12,Yashica Rajagopalan,Medium,Converted to PO
PR-30063,2025-10-29,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5010,MCCB 200A,Electrical,9,Nos,2025-11-21,Benjamin Sengupta,Medium,Converted to PO
PR-30064,2026-06-17,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5049,Deep Cycle Battery 200Ah,Batteries,11,Nos,2026-07-14,Baljiwan Bhandari,Medium,Converted to PO
PR-30065,2025-10-10,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5004,LED Flood Light 100W,Electrical,28,Nos,2025-11-06,Ekanta Soni,High,Pending Approval
PR-30066,2026-06-25,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5039,Earthing Kit for Module Structure,Solar Panels,21,Set,2026-07-19,Yashica Rajagopalan,Low,Rejected
PR-30067,2026-07-31,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5059,Pipe Clamp GI 4 inch,Plumbing Materials,34,Nos,2026-08-13,Daksh Pandey,Medium,Converted to PO
PR-30068,2026-03-29,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5056,Concealed Cistern with Frame,Plumbing Materials,24,Set,2026-04-15,Warinder Chauhan,Medium,Converted to PO
PR-30069,2026-02-06,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5005,Modular Switch 6A,Electrical,18,Nos,2026-03-05,Riya Mitter,High,Converted to PO
PR-30070,2026-04-05,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5010,MCCB 200A,Electrical,15,Nos,2026-04-28,Ria Bir,Medium,Converted to PO
PR-30071,2026-05-18,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5013,Laminate Sheet 1mm (8x4 ft),Carpentry,31,Sheet,2026-06-11,Dayita Shenoy,High,Converted to PO
PR-30072,2026-07-10,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5039,Earthing Kit for Module Structure,Solar Panels,17,Set,2026-07-26,Benjamin Sengupta,Medium,Converted to PO
PR-30073,2026-01-07,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5044,Inverter 2.5kVA Pure Sinewave,Batteries,13,Nos,2026-01-15,Ekanta Soni,Medium,Converted to PO
PR-30074,2026-04-01,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),Plumbing Materials,55,Pcs,2026-04-09,Ria Bir,High,Converted to PO
PR-30075,2025-10-11,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5022,OPC 53 Grade Cement (50kg bag),Road Construction Materials,13,Bag,2025-10-18,Ekanta Soni,High,Converted to PO
PR-30076,2026-07-21,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5032,Solar Module 540Wp Mono PERC,Solar Panels,51,Nos,2026-08-13,Yashica Rajagopalan,High,Converted to PO
PR-30077,2026-07-23,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),Plumbing Materials,53,Pcs,2026-08-11,Ekantika Mutti,Medium,Cancelled
PR-30078,2026-01-02,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5047,Battery Interconnect Cable Set,Batteries,27,Set,2026-02-01,Aahana Hora,Medium,Converted to PO
PR-30079,2025-09-19,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5039,Earthing Kit for Module Structure,Solar Panels,7,Set,2025-10-05,Benjamin Sengupta,High,Converted to PO
PR-30080,2026-01-25,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5015,Hinges SS 4 inch,Carpentry,15,Pair,2026-02-12,Warinder Chauhan,Low,Pending Approval
PR-30081,2026-04-12,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5017,Door Lock Mortise Set,Carpentry,27,Set,2026-05-01,Riya Mitter,Medium,Converted to PO
PR-30082,2025-10-23,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5037,MC4 Connector Pair,Solar Panels,21,Pair,2025-11-01,Ekantika Mutti,Medium,Converted to PO
PR-30083,2026-03-27,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5010,MCCB 200A,Electrical,18,Nos,2026-04-14,Yashica Rajagopalan,Medium,Converted to PO
PR-30084,2026-03-09,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5039,Earthing Kit for Module Structure,Solar Panels,48,Set,2026-03-27,Aahana Hora,Medium,Converted to PO
PR-30085,2026-03-18,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5020,PVC Edge Banding Tape (100m roll),Carpentry,43,Roll,2026-04-11,Benjamin Sengupta,Medium,Converted to PO
PR-30086,2026-06-09,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5033,Solar Module 550Wp Bifacial,Solar Panels,27,Nos,2026-07-03,Ekantika Mutti,Low,Converted to PO
PR-30087,2026-07-11,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5044,Inverter 2.5kVA Pure Sinewave,Batteries,14,Nos,2026-07-20,Riya Mitter,Low,Converted to PO
PR-30088,2025-11-06,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5034,String Inverter 50kW,Solar Panels,4,Nos,2025-11-26,Ekanta Soni,High,Converted to PO
PR-30089,2026-07-12,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5016,Drawer Channel 18 inch Telescopic,Carpentry,27,Pair,2026-08-05,Bhavini Bose,High,Converted to PO
PR-30090,2026-06-20,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5015,Hinges SS 4 inch,Carpentry,25,Pair,2026-07-10,Warinder Chauhan,Medium,Converted to PO
PR-30091,2026-02-11,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5033,Solar Module 550Wp Bifacial,Solar Panels,17,Nos,2026-02-25,Ekantika Mutti,Medium,Converted to PO
PR-30092,2026-05-13,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5026,Bitumen VG-30 (drum 180kg),Road Construction Materials,33,Drum,2026-05-20,Riya Mitter,Medium,Converted to PO
PR-30093,2026-03-07,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5004,LED Flood Light 100W,Electrical,13,Nos,2026-03-26,Riya Mitter,High,Converted to PO
PR-30094,2026-06-13,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5027,Ready Mix Concrete M25,Road Construction Materials,42,Cum,2026-07-01,Wakeeta Shetty,Medium,Converted to PO
PR-30095,2026-07-01,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5054,Water Tank 1000L HDPE,Plumbing Materials,16,Nos,2026-07-18,Dayita Shenoy,Medium,Converted to PO
PR-30096,2026-06-23,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5021,Adhesive Fevicol SH (5kg),Carpentry,31,Can,2026-07-07,Baljiwan Bhandari,Medium,Converted to PO
PR-30097,2026-05-15,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5038,Combiner Box 6 in 1 out,Solar Panels,14,Nos,2026-06-10,Ekanta Soni,Low,Rejected
PR-30098,2026-05-24,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5002,MCB 32A Single Pole,Electrical,22,Nos,2026-06-06,Bhavini Bose,Medium,Converted to PO
PR-30099,2026-01-21,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5015,Hinges SS 4 inch,Carpentry,16,Pair,2026-02-14,Ekantika Mutti,Medium,Converted to PO
PR-30100,2025-10-11,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5016,Drawer Channel 18 inch Telescopic,Carpentry,30,Pair,2025-10-29,Bhavini Bose,Medium,Rejected
PR-30101,2026-01-17,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5020,PVC Edge Banding Tape (100m roll),Carpentry,30,Roll,2026-02-10,Michael Borra,High,Converted to PO
PR-30102,2026-03-28,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5052,PVC Elbow 4 inch,Plumbing Materials,36,Nos,2026-04-24,Daksh Pandey,Medium,Rejected
PR-30103,2026-02-12,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5046,Battery Rack 4-Tier MS,Batteries,19,Nos,2026-02-28,Benjamin Sengupta,High,Converted to PO
PR-30104,2026-07-06,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5009,Contactor 40A 3 Pole,Electrical,12,Nos,2026-07-16,Ria Bir,Medium,Rejected
PR-30105,2025-11-08,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5039,Earthing Kit for Module Structure,Solar Panels,24,Set,2025-12-01,Wakeeta Shetty,Low,Converted to PO
PR-30106,2025-10-19,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5028,PQC Dowel Bar 32mm,Road Construction Materials,7,Ton,2025-10-31,Daksh Pandey,Medium,Cancelled
PR-30107,2025-12-30,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5006,Cable Tray 300mm (2m length),Electrical,7,Nos,2026-01-20,Ria Bir,Medium,Converted to PO
PR-30108,2026-03-08,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5004,LED Flood Light 100W,Electrical,25,Nos,2026-04-03,Michael Borra,Medium,Converted to PO
PR-30109,2026-03-05,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5040,Anti-Reflective Glass Panel (spare),Solar Panels,21,Nos,2026-03-14,Aahana Hora,High,Pending Approval
PR-30110,2026-06-21,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5053,Ball Valve 1 inch Brass,Plumbing Materials,25,Nos,2026-07-15,Ria Bir,Low,Converted to PO
PR-30111,2025-09-12,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5026,Bitumen VG-30 (drum 180kg),Road Construction Materials,22,Drum,2025-10-01,Warinder Chauhan,Medium,Converted to PO
PR-30112,2026-03-11,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5048,Battery Monitoring System (BMS module),Batteries,24,Nos,2026-03-30,Riya Mitter,Medium,Converted to PO
PR-30113,2026-05-31,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5038,Combiner Box 6 in 1 out,Solar Panels,22,Nos,2026-06-19,Wakeeta Shetty,Medium,Converted to PO
PR-30114,2026-03-25,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5012,Plywood 19mm BWP (8x4 ft),Carpentry,63,Sheet,2026-04-15,Wakeeta Shetty,Medium,Converted to PO
PR-30115,2026-06-13,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5022,OPC 53 Grade Cement (50kg bag),Road Construction Materials,36,Bag,2026-07-08,Michael Borra,Medium,Pending Approval
PR-30116,2026-02-24,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5032,Solar Module 540Wp Mono PERC,Solar Panels,12,Nos,2026-03-23,Benjamin Sengupta,Medium,Converted to PO
PR-30117,2026-06-13,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5038,Combiner Box 6 in 1 out,Solar Panels,5,Nos,2026-07-06,Wakeeta Shetty,Medium,Converted to PO
PR-30118,2026-05-04,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5045,VRLA SMF Battery 12V 100Ah,Batteries,36,Nos,2026-05-17,Ria Bir,Medium,Pending Approval
PR-30119,2025-10-31,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5015,Hinges SS 4 inch,Carpentry,14,Pair,2025-11-30,Daksh Pandey,Low,Cancelled
PR-30120,2026-03-23,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5035,Module Mounting Structure (per kW),Solar Panels,8,kW Set,2026-04-06,Benjamin Sengupta,Medium,Converted to PO
