GRNNo,GRNDate,PONo,VendorCode,WarehouseCode,ItemCode,ItemDescription,Vertical,ReceivedQty,AcceptedQty,RejectedQty,UOM,InspectedBy,QCStatus
GRN-50014,2026-08-04,PO-40013,V-1011,WH-01,I-5021,Adhesive Fevicol SH (5kg),Carpentry,32,32,0,Can,Inaya Mukherjee,Accepted
GRN-50015,2026-08-19,PO-40014,V-1024,WH-02,I-5027,Ready Mix Concrete M25,Road Construction Materials,19,19,0,Cum,Forum Chandra,Accepted
GRN-50016,2026-01-29,PO-40015,V-1015,WH-03,I-5019,Veneer Sheet Teak (8x4 ft),Carpentry,20,20,0,Sheet,Inaya Mukherjee,Accepted
GRN-50017,2026-04-09,PO-40016,V-1007,WH-01,I-5011,Cable Gland Brass 25mm,Electrical,20,20,0,Nos,Gauri Bumb,Accepted
GRN-50018,2026-02-20,PO-40017,V-1053,WH-02,I-5058,Submersible Pump 1HP,Plumbing Materials,22,22,0,Nos,Forum Chandra,Accepted
GRN-50019,2026-01-08,PO-40018,V-1040,WH-02,I-5046,Battery Rack 4-Tier MS,Batteries,6,6,0,Nos,Lila Rege,Accepted
GRN-50020,2026-07-05,PO-40019,V-1021,WH-02,I-5023,TMT Steel Bar Fe500D 12mm,Road Construction Materials,25,25,0,Ton,Charles Natt,Accepted
GRN-50021,2026-04-25,PO-40020,V-1013,WH-02,I-5021,Adhesive Fevicol SH (5kg),Carpentry,13,13,0,Can,Charles Natt,Accepted
GRN-50022,2026-02-11,PO-40021,V-1014,WH-01,I-5015,Hinges SS 4 inch,Carpentry,16,16,0,Pair,Forum Chandra,Accepted
GRN-50023,2026-02-17,PO-40022,V-1038,WH-01,I-5041,Solar Cable Gland Set,Solar Panels,6,6,0,Set,Forum Chandra,Accepted
GRN-50024,2026-02-20,PO-40023,V-1044,WH-01,I-5042,Tubular Battery 150Ah C10,Batteries,19,18,1,Nos,Bhanumati Krishnan,Rejected - Partial
GRN-50025,2026-01-24,PO-40024,V-1020,WH-02,I-5027,Ready Mix Concrete M25,Road Construction Materials,19,19,0,Cum,Bhanumati Krishnan,Accepted
GRN-50026,2026-05-19,PO-40025,V-1002,WH-03,I-5004,LED Flood Light 100W,Electrical,22,22,0,Nos,Lila Rege,Accepted
GRN-50027,2026-06-08,PO-40026,V-1028,WH-03,I-5026,Bitumen VG-30 (drum 180kg),Road Construction Materials,18,18,0,Drum,Lila Rege,Accepted
GRN-50028,2026-02-22,PO-40027,V-1012,WH-02,I-5012,Plywood 19mm BWP (8x4 ft),Carpentry,41,41,0,Sheet,Bhanumati Krishnan,Accepted
GRN-50029,2026-07-07,PO-40028,V-1056,WH-03,I-5053,Ball Valve 1 inch Brass,Plumbing Materials,13,13,0,Nos,Forum Chandra,Accepted
GRN-50030,2026-08-29,PO-40029,V-1025,WH-02,I-5028,PQC Dowel Bar 32mm,Road Construction Materials,16,16,0,Ton,Forum Chandra,Accepted
GRN-50031,2026-02-20,PO-40030,V-1059,WH-02,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),Plumbing Materials,15,15,0,Pcs,Charles Natt,Accepted
GRN-50032,2026-02-01,PO-40031,V-1032,WH-01,I-5039,Earthing Kit for Module Structure,Solar Panels,5,5,0,Set,Forum Chandra,Accepted
GRN-50033,2026-02-07,PO-40031,V-1032,WH-01,I-5039,Earthing Kit for Module Structure,Solar Panels,5,5,0,Set,Bhanumati Krishnan,Accepted
GRN-50034,2026-02-03,PO-40032,V-1017,WH-01,I-5018,Wood Screws 2 inch (box of 100),Carpentry,11,11,0,Box,Forum Chandra,Accepted
GRN-50035,2026-08-11,PO-40033,V-1042,WH-01,I-5043,Lithium-ion Battery Pack 48V 100Ah,Batteries,24,24,0,Nos,Gauri Bumb,Accepted
GRN-50036,2025-10-02,PO-40035,V-1009,WH-02,I-5006,Cable Tray 300mm (2m length),Electrical,25,25,0,Nos,Gauri Bumb,Accepted
GRN-50037,2026-02-11,PO-40036,V-1037,WH-01,I-5039,Earthing Kit for Module Structure,Solar Panels,11,11,0,Set,Inaya Mukherjee,Accepted
GRN-50038,2026-07-18,PO-40037,V-1054,WH-03,I-5056,Concealed Cistern with Frame,Plumbing Materials,26,24,2,Set,Lila Rege,Rejected - Partial
GRN-50039,2025-10-11,PO-40038,V-1033,WH-01,I-5037,MC4 Connector Pair,Solar Panels,33,33,0,Pair,Gauri Bumb,Accepted
GRN-50040,2026-03-01,PO-40039,V-1048,WH-01,I-5045,VRLA SMF Battery 12V 100Ah,Batteries,56,56,0,Nos,Charles Natt,Accepted
GRN-50041,2026-06-25,PO-40040,V-1001,WH-02,I-5006,Cable Tray 300mm (2m length),Electrical,12,12,0,Nos,Inaya Mukherjee,Accepted
GRN-50042,2026-04-08,PO-40041,V-1001,WH-02,I-5007,Junction Box IP65,Electrical,36,36,0,Nos,Inaya Mukherjee,Accepted
GRN-50043,2025-11-10,PO-40042,V-1033,WH-01,I-5038,Combiner Box 6 in 1 out,Solar Panels,12,12,0,Nos,Inaya Mukherjee,Accepted
GRN-50044,2025-11-20,PO-40042,V-1033,WH-01,I-5038,Combiner Box 6 in 1 out,Solar Panels,12,12,0,Nos,Bhanumati Krishnan,Accepted
GRN-50045,2026-05-25,PO-40044,V-1028,WH-01,I-5031,Geotextile Fabric (roll 100m2),Road Construction Materials,34,34,0,Roll,Gauri Bumb,Accepted
GRN-50046,2026-03-09,PO-40045,V-1012,WH-01,I-5016,Drawer Channel 18 inch Telescopic,Carpentry,11,11,0,Pair,Charles Natt,Accepted
GRN-50047,2025-12-10,PO-40046,V-1036,WH-01,I-5032,Solar Module 540Wp Mono PERC,Solar Panels,29,29,0,Nos,Bhanumati Krishnan,Accepted
GRN-50048,2025-10-11,PO-40047,V-1033,WH-02,I-5036,DC Cable 4 sqmm Solar Grade (100m),Solar Panels,15,15,0,Coil,Charles Natt,Accepted
GRN-50049,2026-07-04,PO-40048,V-1050,WH-03,I-5055,Sanitaryware Wash Basin,Plumbing Materials,16,16,0,Nos,Lila Rege,Accepted
GRN-50050,2026-07-14,PO-40048,V-1050,WH-01,I-5055,Sanitaryware Wash Basin,Plumbing Materials,16,16,0,Nos,Forum Chandra,Accepted
GRN-50051,2025-11-14,PO-40049,V-1002,WH-01,I-5010,MCCB 200A,Electrical,9,9,0,Nos,Inaya Mukherjee,Accepted
GRN-50052,2026-07-18,PO-40050,V-1047,WH-02,I-5049,Deep Cycle Battery 200Ah,Batteries,11,11,0,Nos,Forum Chandra,Accepted
GRN-50053,2026-08-26,PO-40051,V-1055,WH-01,I-5059,Pipe Clamp GI 4 inch,Plumbing Materials,34,34,0,Nos,Bhanumati Krishnan,Accepted
GRN-50054,2026-04-26,PO-40052,V-1055,WH-03,I-5056,Concealed Cistern with Frame,Plumbing Materials,24,24,0,Set,Gauri Bumb,Accepted
GRN-50055,2026-02-28,PO-40053,V-1004,WH-02,I-5005,Modular Switch 6A,Electrical,17,17,0,Nos,Inaya Mukherjee,Accepted
GRN-50056,2026-06-01,PO-40055,V-1019,WH-02,I-5013,Laminate Sheet 1mm (8x4 ft),Carpentry,31,31,0,Sheet,Charles Natt,Accepted
GRN-50057,2026-07-28,PO-40056,V-1037,WH-01,I-5039,Earthing Kit for Module Structure,Solar Panels,17,16,1,Set,Forum Chandra,Rejected - Partial
GRN-50058,2026-01-22,PO-40057,V-1048,WH-03,I-5044,Inverter 2.5kVA Pure Sinewave,Batteries,13,13,0,Nos,Charles Natt,Accepted
GRN-50059,2026-04-03,PO-40058,V-1050,WH-01,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),Plumbing Materials,55,55,0,Pcs,Bhanumati Krishnan,Accepted
GRN-50060,2025-11-02,PO-40059,V-1026,WH-01,I-5022,OPC 53 Grade Cement (50kg bag),Road Construction Materials,13,13,0,Bag,Gauri Bumb,Accepted
GRN-50061,2026-08-15,PO-40060,V-1035,WH-01,I-5032,Solar Module 540Wp Mono PERC,Solar Panels,51,51,0,Nos,Gauri Bumb,Accepted
GRN-50062,2026-01-31,PO-40061,V-1042,WH-02,I-5047,Battery Interconnect Cable Set,Batteries,27,27,0,Set,Inaya Mukherjee,Accepted
GRN-50063,2026-05-07,PO-40063,V-1017,WH-01,I-5017,Door Lock Mortise Set,Carpentry,27,27,0,Set,Gauri Bumb,Accepted
GRN-50064,2025-11-09,PO-40064,V-1032,WH-01,I-5037,MC4 Connector Pair,Solar Panels,22,22,0,Pair,Inaya Mukherjee,Accepted
GRN-50065,2026-03-29,PO-40065,V-1009,WH-01,I-5010,MCCB 200A,Electrical,19,19,0,Nos,Bhanumati Krishnan,Accepted
GRN-50066,2026-04-10,PO-40067,V-1019,WH-01,I-5020,PVC Edge Banding Tape (100m roll),Carpentry,43,43,0,Roll,Inaya Mukherjee,Accepted
GRN-50067,2026-07-09,PO-40068,V-1032,WH-01,I-5033,Solar Module 550Wp Bifacial,Solar Panels,27,27,0,Nos,Bhanumati Krishnan,Accepted
GRN-50068,2026-08-11,PO-40069,V-1046,WH-01,I-5044,Inverter 2.5kVA Pure Sinewave,Batteries,15,15,0,Nos,Inaya Mukherjee,Accepted
GRN-50069,2025-11-21,PO-40070,V-1034,WH-03,I-5034,String Inverter 50kW,Solar Panels,4,4,0,Nos,Forum Chandra,Accepted
GRN-50070,2026-07-31,PO-40071,V-1019,WH-01,I-5016,Drawer Channel 18 inch Telescopic,Carpentry,26,26,0,Pair,Lila Rege,Accepted
GRN-50071,2026-07-06,PO-40072,V-1014,WH-02,I-5015,Hinges SS 4 inch,Carpentry,13,13,0,Pair,Charles Natt,Accepted
GRN-50072,2026-07-14,PO-40072,V-1014,WH-01,I-5015,Hinges SS 4 inch,Carpentry,13,13,0,Pair,Inaya Mukherjee,Accepted
GRN-50073,2026-03-06,PO-40073,V-1034,WH-03,I-5033,Solar Module 550Wp Bifacial,Solar Panels,18,18,0,Nos,Inaya Mukherjee,Accepted
GRN-50074,2026-05-23,PO-40074,V-1025,WH-02,I-5026,Bitumen VG-30 (drum 180kg),Road Construction Materials,33,32,1,Drum,Bhanumati Krishnan,Rejected - Partial
GRN-50075,2026-03-18,PO-40075,V-1008,WH-01,I-5004,LED Flood Light 100W,Electrical,13,13,0,Nos,Gauri Bumb,Accepted
GRN-50076,2026-06-24,PO-40076,V-1020,WH-01,I-5027,Ready Mix Concrete M25,Road Construction Materials,42,42,0,Cum,Gauri Bumb,Accepted
GRN-50077,2026-07-27,PO-40077,V-1057,WH-02,I-5054,Water Tank 1000L HDPE,Plumbing Materials,16,15,1,Nos,Inaya Mukherjee,Rejected - Partial
GRN-50078,2026-07-05,PO-40078,V-1019,WH-02,I-5021,Adhesive Fevicol SH (5kg),Carpentry,32,32,0,Can,Charles Natt,Accepted
GRN-50079,2026-06-20,PO-40079,V-1002,WH-03,I-5002,MCB 32A Single Pole,Electrical,23,23,0,Nos,Inaya Mukherjee,Accepted
GRN-50080,2026-02-20,PO-40080,V-1017,WH-02,I-5015,Hinges SS 4 inch,Carpentry,16,16,0,Pair,Gauri Bumb,Accepted
GRN-50081,2026-02-12,PO-40081,V-1013,WH-01,I-5020,PVC Edge Banding Tape (100m roll),Carpentry,30,30,0,Roll,Inaya Mukherjee,Accepted
GRN-50082,2026-03-08,PO-40082,V-1040,WH-01,I-5046,Battery Rack 4-Tier MS,Batteries,19,18,1,Nos,Bhanumati Krishnan,Rejected - Partial
GRN-50083,2025-11-19,PO-40083,V-1037,WH-02,I-5039,Earthing Kit for Module Structure,Solar Panels,24,24,0,Set,Charles Natt,Accepted
GRN-50084,2026-01-14,PO-40084,V-1004,WH-01,I-5006,Cable Tray 300mm (2m length),Electrical,7,7,0,Nos,Inaya Mukherjee,Accepted
GRN-50085,2026-04-04,PO-40085,V-1009,WH-03,I-5004,LED Flood Light 100W,Electrical,25,25,0,Nos,Charles Natt,Accepted
GRN-50086,2026-07-12,PO-40086,V-1053,WH-01,I-5053,Ball Valve 1 inch Brass,Plumbing Materials,24,24,0,Nos,Charles Natt,Accepted
GRN-50087,2025-09-26,PO-40087,V-1026,WH-01,I-5026,Bitumen VG-30 (drum 180kg),Road Construction Materials,22,21,1,Drum,Bhanumati Krishnan,Rejected - Partial
GRN-50088,2026-04-01,PO-40088,V-1048,WH-01,I-5048,Battery Monitoring System (BMS module),Batteries,24,24,0,Nos,Charles Natt,Accepted
GRN-50089,2026-06-25,PO-40089,V-1031,WH-01,I-5038,Combiner Box 6 in 1 out,Solar Panels,22,22,0,Nos,Gauri Bumb,Accepted
GRN-50090,2026-04-15,PO-40090,V-1014,WH-03,I-5012,Plywood 19mm BWP (8x4 ft),Carpentry,63,62,1,Sheet,Charles Natt,Rejected - Partial
GRN-50091,2026-03-17,PO-40091,V-1032,WH-03,I-5032,Solar Module 540Wp Mono PERC,Solar Panels,12,12,0,Nos,Forum Chandra,Accepted
GRN-50092,2026-06-23,PO-40092,V-1037,WH-01,I-5038,Combiner Box 6 in 1 out,Solar Panels,5,5,0,Nos,Gauri Bumb,Accepted
GRN-50093,2026-04-15,PO-40093,V-1035,WH-03,I-5035,Module Mounting Structure (per kW),Solar Panels,8,8,0,kW Set,Inaya Mukherjee,Accepted
GRN-50094,2025-12-30,PO-40094,V-1026,WH-03,I-5031,Geotextile Fabric (roll 100m2),Road Construction Materials,17,17,0,Roll,Bhanumati Krishnan,Accepted
GRN-50095,2026-05-10,PO-40095,V-1052,WH-02,I-5057,Bathroom Faucet Single Lever,Plumbing Materials,18,18,0,Nos,Lila Rege,Accepted
GRN-50096,2026-05-26,PO-40096,V-1007,WH-02,I-5003,Distribution Board 8-Way,Electrical,20,20,0,Nos,Forum Chandra,Accepted
GRN-50097,2025-11-17,PO-40097,V-1035,WH-01,I-5034,String Inverter 50kW,Solar Panels,15,15,0,Nos,Inaya Mukherjee,Accepted
GRN-50098,2025-11-07,PO-40098,V-1032,WH-03,I-5032,Solar Module 540Wp Mono PERC,Solar Panels,29,28,1,Nos,Charles Natt,Rejected - Partial
GRN-50099,2026-01-31,PO-40099,V-1003,WH-01,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),Electrical,24,23,1,Coil,Gauri Bumb,Rejected - Partial
GRN-50100,2026-06-05,PO-40101,V-1036,WH-01,I-5039,Earthing Kit for Module Structure,Solar Panels,61,61,0,Set,Inaya Mukherjee,Accepted
GRN-50101,2025-09-29,PO-40102,V-1026,WH-01,I-5023,TMT Steel Bar Fe500D 12mm,Road Construction Materials,19,19,0,Ton,Gauri Bumb,Accepted
GRN-50102,2026-04-01,PO-40103,V-1002,WH-01,I-5006,Cable Tray 300mm (2m length),Electrical,12,12,0,Nos,Charles Natt,Accepted
GRN-50103,2026-08-04,PO-40104,V-1026,WH-03,I-5025,River Sand (fine aggregate),Road Construction Materials,23,23,0,Ton,Inaya Mukherjee,Accepted
GRN-50104,2026-08-13,PO-40104,V-1026,WH-02,I-5025,River Sand (fine aggregate),Road Construction Materials,23,23,0,Ton,Inaya Mukherjee,Accepted
GRN-50105,2025-10-06,PO-40105,V-1001,WH-02,I-5008,Earthing Strip GI 25x3mm,Electrical,26,26,0,Mtr,Inaya Mukherjee,Accepted
GRN-50106,2026-06-13,PO-40106,V-1005,WH-01,I-5005,Modular Switch 6A,Electrical,6,6,0,Nos,Bhanumati Krishnan,Accepted
GRN-50107,2026-05-12,PO-40107,V-1045,WH-01,I-5045,VRLA SMF Battery 12V 100Ah,Batteries,19,19,0,Nos,Inaya Mukherjee,Accepted
GRN-50108,2026-05-20,PO-40108,V-1031,WH-02,I-5037,MC4 Connector Pair,Solar Panels,11,11,0,Pair,Gauri Bumb,Accepted
GRN-50109,2026-04-17,PO-40109,V-1059,WH-01,I-5053,Ball Valve 1 inch Brass,Plumbing Materials,61,61,0,Nos,Forum Chandra,Accepted
GRN-50110,2025-12-26,PO-40110,V-1015,WH-01,I-5017,Door Lock Mortise Set,Carpentry,11,11,0,Set,Bhanumati Krishnan,Accepted
GRN-50111,2025-10-23,PO-40111,V-1052,WH-01,I-5059,Pipe Clamp GI 4 inch,Plumbing Materials,21,21,0,Nos,Bhanumati Krishnan,Accepted
GRN-50112,2025-11-27,PO-40112,V-1007,WH-01,I-5004,LED Flood Light 100W,Electrical,12,12,0,Nos,Inaya Mukherjee,Accepted
GRN-50113,2025-11-25,PO-40112,V-1007,WH-01,I-5004,LED Flood Light 100W,Electrical,12,12,0,Nos,Lila Rege,Accepted
GRN-50114,2026-06-15,PO-40113,V-1035,WH-03,I-5039,Earthing Kit for Module Structure,Solar Panels,13,13,0,Set,Lila Rege,Accepted
GRN-50115,2026-05-15,PO-40114,V-1053,WH-01,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),Plumbing Materials,44,44,0,Pcs,Charles Natt,Accepted
GRN-50116,2025-12-01,PO-40116,V-1052,WH-02,I-5052,PVC Elbow 4 inch,Plumbing Materials,35,35,0,Nos,Lila Rege,Accepted
GRN-50117,2026-02-19,PO-40117,V-1027,WH-01,I-5029,Wire Mesh Fabric 6mm@150c/c,Road Construction Materials,12,12,0,Ton,Charles Natt,Accepted
GRN-50118,2026-06-26,PO-40118,V-1037,WH-03,I-5034,String Inverter 50kW,Solar Panels,5,5,0,Nos,Bhanumati Krishnan,Accepted
GRN-50119,2026-07-04,PO-40118,V-1037,WH-03,I-5034,String Inverter 50kW,Solar Panels,5,5,0,Nos,Lila Rege,Accepted
GRN-50120,2025-10-03,PO-40119,V-1051,WH-01,I-5052,PVC Elbow 4 inch,Plumbing Materials,11,11,0,Nos,Inaya Mukherjee,Accepted
GRN-50121,2025-11-15,PO-40120,V-1055,WH-02,I-5056,Concealed Cistern with Frame,Plumbing Materials,29,29,0,Set,Lila Rege,Accepted
GRN-50122,2026-07-27,PO-40121,V-1021,WH-01,I-5025,River Sand (fine aggregate),Road Construction Materials,45,45,0,Ton,Bhanumati Krishnan,Accepted
GRN-50123,2026-07-30,PO-40122,V-1004,WH-01,I-5008,Earthing Strip GI 25x3mm,Electrical,29,29,0,Mtr,Lila Rege,Accepted
GRN-50124,2026-04-08,PO-40123,V-1001,WH-01,I-5009,Contactor 40A 3 Pole,Electrical,16,16,0,Nos,Forum Chandra,Accepted
GRN-50125,2026-08-18,PO-40124,V-1033,WH-03,I-5033,Solar Module 550Wp Bifacial,Solar Panels,26,26,0,Nos,Inaya Mukherjee,Accepted
GRN-50126,2025-10-14,PO-40125,V-1054,WH-01,I-5053,Ball Valve 1 inch Brass,Plumbing Materials,32,32,0,Nos,Forum Chandra,Accepted
GRN-50127,2025-11-26,PO-40126,V-1009,WH-03,I-5004,LED Flood Light 100W,Electrical,60,60,0,Nos,Charles Natt,Accepted
GRN-50128,2026-01-13,PO-40127,V-1037,WH-03,I-5033,Solar Module 550Wp Bifacial,Solar Panels,29,29,0,Nos,Inaya Mukherjee,Accepted
GRN-50129,2026-02-02,PO-40128,V-1058,WH-02,I-5055,Sanitaryware Wash Basin,Plumbing Materials,15,15,0,Nos,Forum Chandra,Accepted
GRN-50130,2026-03-01,PO-40129,V-1013,WH-02,I-5021,Adhesive Fevicol SH (5kg),Carpentry,5,5,0,Can,Inaya Mukherjee,Accepted
GRN-50131,2025-10-30,PO-40130,V-1022,WH-02,I-5026,Bitumen VG-30 (drum 180kg),Road Construction Materials,19,19,0,Drum,Inaya Mukherjee,Accepted
GRN-50132,2026-08-15,PO-40131,V-1003,WH-01,I-5002,MCB 32A Single Pole,Electrical,7,7,0,Nos,Lila Rege,Accepted
GRN-50133,2026-08-19,PO-40131,V-1003,WH-02,I-5002,MCB 32A Single Pole,Electrical,7,7,0,Nos,Charles Natt,Accepted
GRN-50134,2025-12-24,PO-40132,V-1004,WH-02,I-5005,Modular Switch 6A,Electrical,70,70,0,Nos,Forum Chandra,Accepted
GRN-50135,2025-09-24,PO-40133,V-1041,WH-03,I-5044,Inverter 2.5kVA Pure Sinewave,Batteries,26,26,0,Nos,Forum Chandra,Accepted
GRN-50136,2025-09-20,PO-40134,V-1015,WH-01,I-5013,Laminate Sheet 1mm (8x4 ft),Carpentry,49,47,2,Sheet,Inaya Mukherjee,Rejected - Partial
GRN-50137,2025-12-26,PO-40135,V-1004,WH-01,I-5003,Distribution Board 8-Way,Electrical,16,16,0,Nos,Bhanumati Krishnan,Accepted
GRN-50138,2026-03-20,PO-40136,V-1046,WH-03,I-5048,Battery Monitoring System (BMS module),Batteries,37,37,0,Nos,Forum Chandra,Accepted
GRN-50139,2025-11-12,PO-40137,V-1053,WH-02,I-5052,PVC Elbow 4 inch,Plumbing Materials,40,40,0,Nos,Inaya Mukherjee,Accepted
GRN-50140,2026-06-25,PO-40138,V-1022,WH-01,I-5031,Geotextile Fabric (roll 100m2),Road Construction Materials,4,4,0,Roll,Bhanumati Krishnan,Accepted
GRN-50141,2026-02-20,PO-40139,V-1028,WH-01,I-5024,Crushed Stone Aggregate 20mm,Road Construction Materials,25,25,0,Ton,Forum Chandra,Accepted
GRN-50142,2026-08-08,PO-40140,V-1043,WH-02,I-5049,Deep Cycle Battery 200Ah,Batteries,21,21,0,Nos,Inaya Mukherjee,Accepted
GRN-50143,2025-12-15,PO-40141,V-1041,WH-03,I-5042,Tubular Battery 150Ah C10,Batteries,41,41,0,Nos,Charles Natt,Accepted
GRN-50144,2026-04-25,PO-40142,V-1031,WH-03,I-5037,MC4 Connector Pair,Solar Panels,36,33,3,Pair,Bhanumati Krishnan,Rejected - Partial
GRN-50145,2025-12-14,PO-40143,V-1041,WH-01,I-5045,VRLA SMF Battery 12V 100Ah,Batteries,12,12,0,Nos,Lila Rege,Accepted
GRN-50146,2026-07-25,PO-40144,V-1058,WH-01,I-5052,PVC Elbow 4 inch,Plumbing Materials,16,16,0,Nos,Gauri Bumb,Accepted
GRN-50147,2026-02-17,PO-40145,V-1004,WH-03,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),Electrical,5,5,0,Coil,Forum Chandra,Accepted
GRN-50148,2026-03-02,PO-40145,V-1004,WH-01,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),Electrical,5,5,0,Coil,Bhanumati Krishnan,Accepted
GRN-50149,2025-12-17,PO-40146,V-1049,WH-01,I-5042,Tubular Battery 150Ah C10,Batteries,45,45,0,Nos,Gauri Bumb,Accepted
GRN-50150,2026-04-04,PO-40147,V-1029,WH-01,I-5023,TMT Steel Bar Fe500D 12mm,Road Construction Materials,8,8,0,Ton,Charles Natt,Accepted
GRN-50151,2025-12-27,PO-40148,V-1051,WH-01,I-5056,Concealed Cistern with Frame,Plumbing Materials,11,11,0,Set,Bhanumati Krishnan,Accepted
GRN-50152,2025-11-10,PO-40149,V-1039,WH-02,I-5038,Combiner Box 6 in 1 out,Solar Panels,4,4,0,Nos,Gauri Bumb,Accepted
GRN-50153,2025-11-27,PO-40149,V-1039,WH-02,I-5038,Combiner Box 6 in 1 out,Solar Panels,5,5,0,Nos,Inaya Mukherjee,Accepted
GRN-50154,2026-02-01,PO-40150,V-1017,WH-01,I-5019,Veneer Sheet Teak (8x4 ft),Carpentry,24,24,0,Sheet,Inaya Mukherjee,Accepted
GRN-50155,2026-05-28,PO-40151,V-1003,WH-01,I-5011,Cable Gland Brass 25mm,Electrical,23,23,0,Nos,Charles Natt,Accepted
GRN-50156,2026-01-25,PO-40152,V-1055,WH-01,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),Plumbing Materials,19,19,0,Pcs,Charles Natt,Accepted
GRN-50157,2026-01-25,PO-40153,V-1012,WH-01,I-5015,Hinges SS 4 inch,Carpentry,14,14,0,Pair,Inaya Mukherjee,Accepted
GRN-50158,2026-02-15,PO-40154,V-1015,WH-01,I-5019,Veneer Sheet Teak (8x4 ft),Carpentry,5,5,0,Sheet,Forum Chandra,Accepted
GRN-50159,2025-12-13,PO-40155,V-1055,WH-01,I-5054,Water Tank 1000L HDPE,Plumbing Materials,42,42,0,Nos,Bhanumati Krishnan,Accepted
GRN-50160,2026-01-19,PO-40156,V-1044,WH-02,I-5047,Battery Interconnect Cable Set,Batteries,7,7,0,Set,Inaya Mukherjee,Accepted
GRN-50161,2026-02-20,PO-40157,V-1029,WH-01,I-5031,Geotextile Fabric (roll 100m2),Road Construction Materials,19,19,0,Roll,Forum Chandra,Accepted
GRN-50162,2026-04-28,PO-40158,V-1022,WH-02,I-5031,Geotextile Fabric (roll 100m2),Road Construction Materials,12,12,0,Roll,Gauri Bumb,Accepted
GRN-50163,2026-08-04,PO-40159,V-1005,WH-02,I-5006,Cable Tray 300mm (2m length),Electrical,22,22,0,Nos,Inaya Mukherjee,Accepted
GRN-50164,2026-04-07,PO-40160,V-1024,WH-02,I-5023,TMT Steel Bar Fe500D 12mm,Road Construction Materials,20,20,0,Ton,Charles Natt,Accepted
GRN-50165,2025-10-02,PO-40161,V-1002,WH-02,I-5006,Cable Tray 300mm (2m length),Electrical,14,14,0,Nos,Gauri Bumb,Accepted
GRN-50166,2025-11-12,PO-40162,V-1043,WH-01,I-5042,Tubular Battery 150Ah C10,Batteries,4,4,0,Nos,Gauri Bumb,Accepted
GRN-50167,2025-11-14,PO-40163,V-1034,WH-01,I-5041,Solar Cable Gland Set,Solar Panels,15,15,0,Set,Bhanumati Krishnan,Accepted
GRN-50168,2025-10-25,PO-40164,V-1001,WH-01,I-5010,MCCB 200A,Electrical,34,31,3,Nos,Bhanumati Krishnan,Rejected - Partial
GRN-50169,2026-04-20,PO-40165,V-1022,WH-01,I-5027,Ready Mix Concrete M25,Road Construction Materials,42,38,4,Cum,Inaya Mukherjee,Rejected - Partial
