InvoiceNo,InvoiceDate,PONo,GRNNo,VendorCode,VendorName,Vertical,InvoiceAmount,TaxAmount,TotalAmount,PaymentDueDate,PaymentStatus,PaymentDate,DeptCode,ProjectCode
INV-60023,2026-02-17,PO-40022,GRN-50023,V-1038,Websol Energy System,Solar Panels,857.83,154.41,1012.24,2026-04-03,Paid,2026-04-08,DEP-03,PRJ-103
INV-60024,2026-02-25,PO-40023,GRN-50024,V-1044,Okaya Power,Batteries,247841.31,44611.44,292452.75,2026-03-12,Paid,2026-03-16,DEP-06,PRJ-106
INV-60025,2026-01-24,PO-40024,GRN-50025,V-1020,UltraTech Cement,Road Construction Materials,113352.73,20403.49,133756.22,2026-02-23,Paid,2026-02-25,DEP-01,PRJ-101
INV-60026,2026-05-19,PO-40025,GRN-50026,V-1002,Finolex Cables,Electrical,42898.78,7721.78,50620.56,2026-06-18,Paid,2026-06-23,DEP-05,PRJ-105
INV-60027,2026-06-11,PO-40026,GRN-50027,V-1028,Birla Corporation,Road Construction Materials,162244.06,29203.93,191447.99,2026-08-10,Paid,2026-08-06,DEP-02,PRJ-102
INV-60028,2026-07-10,PO-40028,GRN-50029,V-1056,Jaquar Group,Plumbing Materials,4390.12,790.22,5180.34,2026-07-25,Paid,2026-07-31,DEP-02,PRJ-102
INV-60029,2026-02-24,PO-40030,GRN-50031,V-1059,Roto Pumps,Plumbing Materials,15899.74,2861.95,18761.69,2026-03-26,Paid,2026-03-29,DEP-03,PRJ-103
INV-60030,2026-02-03,PO-40031,GRN-50032,V-1032,Adani Solar,Solar Panels,4045.46,728.18,4773.64,2026-04-04,Paid,2026-04-10,DEP-04,PRJ-104
INV-60031,2026-02-11,PO-40031,GRN-50033,V-1032,Adani Solar,Solar Panels,4045.46,728.18,4773.64,2026-04-12,Paid,2026-04-12,DEP-04,PRJ-104
INV-60032,2026-02-08,PO-40032,GRN-50034,V-1017,Hettich India,Carpentry,1931.05,347.59,2278.64,2026-03-25,Paid,2026-03-21,DEP-06,PRJ-106
INV-60033,2026-08-13,PO-40033,GRN-50035,V-1042,Luminous Power Technologies,Batteries,2742869.57,493716.52,3236586.09,2026-09-12,Paid,2026-09-13,DEP-06,PRJ-106
INV-60034,2025-10-06,PO-40035,GRN-50036,V-1009,Orient Electric,Electrical,20744.42,3734.0,24478.42,2025-10-21,Paid,2025-10-31,DEP-03,PRJ-103
INV-60035,2025-10-15,PO-40038,GRN-50039,V-1033,Vikram Solar,Solar Panels,2627.09,472.88,3099.97,2025-11-14,Paid,2025-11-13,DEP-03,PRJ-103
INV-60036,2026-03-01,PO-40039,GRN-50040,V-1048,Base Corporation,Batteries,550330.44,99059.48,649389.92,2026-03-31,Paid,2026-04-07,DEP-02,PRJ-102
INV-60037,2026-06-28,PO-40040,GRN-50041,V-1001,Polycab India,Electrical,12272.43,2209.04,14481.47,2026-07-28,Paid,2026-07-27,DEP-01,PRJ-101
INV-60038,2026-04-12,PO-40041,GRN-50042,V-1001,Polycab India,Electrical,6993.95,1258.91,8252.86,2026-05-12,Paid,2026-05-10,DEP-01,PRJ-101
INV-60039,2025-11-13,PO-40042,GRN-50043,V-1033,Vikram Solar,Solar Panels,71406.85,12853.23,84260.08,2025-12-13,Paid,2025-12-12,DEP-04,PRJ-104
INV-60040,2025-11-20,PO-40042,GRN-50044,V-1033,Vikram Solar,Solar Panels,71406.85,12853.23,84260.08,2025-12-20,Paid,2025-12-25,DEP-04,PRJ-104
INV-60041,2026-03-14,PO-40045,GRN-50046,V-1012,Kitply Industries,Carpentry,4294.07,772.93,5067.0,2026-03-29,Paid,2026-03-26,DEP-01,PRJ-101
INV-60042,2025-12-15,PO-40046,GRN-50047,V-1036,Emmvee Solar,Solar Panels,332054.33,59769.78,391824.11,2026-01-29,Paid,2026-02-05,DEP-05,PRJ-105
INV-60043,2025-10-15,PO-40047,GRN-50048,V-1033,Vikram Solar,Solar Panels,40848.95,7352.81,48201.76,2025-11-14,Paid,2025-11-14,DEP-04,PRJ-104
INV-60044,2026-07-04,PO-40048,GRN-50049,V-1050,Astral Pipes,Plumbing Materials,37876.55,6817.78,44694.33,2026-09-02,Paid,2026-08-31,DEP-04,PRJ-104
INV-60045,2026-07-15,PO-40048,GRN-50050,V-1050,Astral Pipes,Plumbing Materials,37876.55,6817.78,44694.33,2026-09-13,Paid,2026-09-16,DEP-04,PRJ-104
INV-60046,2025-11-19,PO-40049,GRN-50051,V-1002,Finolex Cables,Electrical,68761.0,12376.98,81137.98,2025-12-19,Paid,2025-12-28,DEP-02,PRJ-102
INV-60047,2026-07-20,PO-40050,GRN-50052,V-1047,Panasonic Energy India,Batteries,225237.52,40542.75,265780.27,2026-08-04,Paid,2026-08-10,DEP-05,PRJ-105
INV-60048,2026-08-30,PO-40051,GRN-50053,V-1055,CERA Sanitaryware,Plumbing Materials,2362.65,425.28,2787.93,2026-09-29,Paid,2026-10-07,DEP-04,PRJ-104
INV-60049,2026-04-28,PO-40052,GRN-50054,V-1055,CERA Sanitaryware,Plumbing Materials,192917.31,34725.12,227642.43,2026-05-28,Paid,2026-05-27,DEP-03,PRJ-103
INV-60050,2026-06-01,PO-40055,GRN-50056,V-1019,Sarvottam Plywood,Carpentry,40933.84,7368.09,48301.93,2026-06-16,Paid,2026-06-14,DEP-01,PRJ-101
INV-60051,2026-08-01,PO-40056,GRN-50057,V-1037,RenewSys India,Solar Panels,13319.78,2397.56,15717.34,2026-09-15,Paid,2026-09-22,DEP-06,PRJ-106
INV-60052,2026-01-22,PO-40057,GRN-50058,V-1048,Base Corporation,Batteries,205341.8,36961.52,242303.32,2026-02-21,Pending,,DEP-02,PRJ-102
INV-60053,2026-04-04,PO-40058,GRN-50059,V-1050,Astral Pipes,Plumbing Materials,60155.32,10827.96,70983.28,2026-06-03,Paid,2026-06-07,DEP-04,PRJ-104
INV-60054,2025-11-02,PO-40059,GRN-50060,V-1026,Tata Steel,Road Construction Materials,4556.61,820.19,5376.8,2026-01-01,Paid,2025-12-31,DEP-04,PRJ-104
INV-60055,2026-08-19,PO-40060,GRN-50061,V-1035,Premier Energies,Solar Panels,617503.8,111150.68,728654.48,2026-09-03,Paid,2026-09-03,DEP-04,PRJ-104
INV-60056,2026-02-01,PO-40061,GRN-50062,V-1042,Luminous Power Technologies,Batteries,16903.07,3042.55,19945.62,2026-03-03,Paid,2026-03-12,DEP-03,PRJ-103
INV-60057,2026-04-10,PO-40067,GRN-50066,V-1019,Sarvottam Plywood,Carpentry,25837.28,4650.71,30487.99,2026-04-25,Paid,2026-05-12,DEP-06,PRJ-106
INV-60058,2026-07-13,PO-40068,GRN-50067,V-1032,Adani Solar,Solar Panels,394957.87,71092.42,466050.29,2026-09-11,Paid,2026-09-15,DEP-03,PRJ-103
INV-60059,2026-08-12,PO-40069,GRN-50068,V-1046,Livguard Energy,Batteries,243564.04,43841.53,287405.57,2026-08-27,Paid,2026-08-30,DEP-04,PRJ-104
INV-60060,2025-11-23,PO-40070,GRN-50069,V-1034,Goldi Solar,Solar Panels,1392029.16,250565.25,1642594.41,2025-12-23,Paid,2026-01-07,DEP-05,PRJ-105
INV-60061,2026-07-09,PO-40072,GRN-50071,V-1014,Duro Ply India,Carpentry,1140.25,205.24,1345.49,2026-08-08,Paid,2026-08-16,DEP-05,PRJ-105
INV-60062,2026-07-16,PO-40072,GRN-50072,V-1014,Duro Ply India,Carpentry,1140.25,205.24,1345.49,2026-08-15,Pending,,DEP-05,PRJ-105
INV-60063,2026-03-07,PO-40073,GRN-50073,V-1034,Goldi Solar,Solar Panels,227557.43,40960.34,268517.77,2026-04-06,Paid,2026-04-10,DEP-03,PRJ-103
INV-60064,2026-05-23,PO-40074,GRN-50074,V-1025,Dalmia Bharat Cement,Road Construction Materials,287248.85,51704.79,338953.64,2026-07-22,Paid,2026-07-28,DEP-05,PRJ-105
INV-60065,2026-03-18,PO-40075,GRN-50075,V-1008,KEI Industries,Electrical,22646.36,4076.34,26722.7,2026-04-17,Paid,2026-04-20,DEP-04,PRJ-104
INV-60066,2026-06-28,PO-40076,GRN-50076,V-1020,UltraTech Cement,Road Construction Materials,250512.99,45092.34,295605.33,2026-07-28,Paid,2026-08-09,DEP-01,PRJ-101
INV-60067,2026-08-01,PO-40077,GRN-50077,V-1057,Hindware Homes,Plumbing Materials,107845.96,19412.27,127258.23,2026-09-15,Paid,2026-09-18,DEP-04,PRJ-104
INV-60068,2026-07-07,PO-40078,GRN-50078,V-1019,Sarvottam Plywood,Carpentry,38408.74,6913.57,45322.31,2026-07-22,Paid,2026-07-23,DEP-04,PRJ-104
INV-60069,2026-06-25,PO-40079,GRN-50079,V-1002,Finolex Cables,Electrical,3384.22,609.16,3993.38,2026-07-25,Paid,2026-07-18,DEP-06,PRJ-106
INV-60070,2026-02-23,PO-40080,GRN-50080,V-1017,Hettich India,Carpentry,1204.02,216.72,1420.74,2026-04-09,Paid,2026-04-16,DEP-04,PRJ-104
INV-60071,2026-02-17,PO-40081,GRN-50081,V-1013,Archidply Industries,Carpentry,18209.9,3277.78,21487.68,2026-03-19,Paid,2026-03-18,DEP-04,PRJ-104
INV-60072,2026-03-13,PO-40082,GRN-50082,V-1040,Exide Industries,Batteries,55352.18,9963.39,65315.57,2026-04-27,Overdue,,DEP-02,PRJ-102
INV-60073,2025-11-24,PO-40083,GRN-50083,V-1037,RenewSys India,Solar Panels,17533.19,3155.97,20689.16,2026-01-08,Overdue,,DEP-06,PRJ-106
INV-60074,2026-01-19,PO-40084,GRN-50084,V-1004,V-Guard Industries,Electrical,6431.21,1157.62,7588.83,2026-02-18,Paid,2026-02-19,DEP-02,PRJ-102
INV-60075,2026-04-09,PO-40085,GRN-50085,V-1009,Orient Electric,Electrical,47036.99,8466.66,55503.65,2026-04-24,Paid,2026-04-25,DEP-06,PRJ-106
INV-60076,2026-07-15,PO-40086,GRN-50086,V-1053,Prince Pipes,Plumbing Materials,7421.81,1335.93,8757.74,2026-07-30,Paid,2026-08-04,DEP-05,PRJ-105
INV-60077,2025-09-29,PO-40087,GRN-50087,V-1026,Tata Steel,Road Construction Materials,172139.21,30985.06,203124.27,2025-11-28,Paid,2025-11-28,DEP-05,PRJ-105
INV-60078,2026-04-01,PO-40088,GRN-50088,V-1048,Base Corporation,Batteries,101777.52,18319.95,120097.47,2026-05-01,Overdue,,DEP-02,PRJ-102
INV-60079,2026-06-29,PO-40089,GRN-50089,V-1031,Waaree Energies,Solar Panels,138700.79,24966.14,163666.93,2026-07-29,Paid,2026-08-06,DEP-06,PRJ-106
INV-60080,2026-04-16,PO-40090,GRN-50090,V-1014,Duro Ply India,Carpentry,195608.25,35209.48,230817.73,2026-05-16,Pending,,DEP-01,PRJ-101
INV-60081,2026-03-18,PO-40091,GRN-50091,V-1032,Adani Solar,Solar Panels,145318.2,26157.28,171475.48,2026-05-17,Paid,2026-05-26,DEP-04,PRJ-104
INV-60082,2026-06-23,PO-40092,GRN-50092,V-1037,RenewSys India,Solar Panels,33196.27,5975.33,39171.6,2026-08-07,Paid,2026-08-21,DEP-01,PRJ-101
INV-60083,2026-04-17,PO-40093,GRN-50093,V-1035,Premier Energies,Solar Panels,36927.29,6646.91,43574.2,2026-05-02,Overdue,,DEP-06,PRJ-106
INV-60084,2026-01-04,PO-40094,GRN-50094,V-1026,Tata Steel,Road Construction Materials,75296.74,13553.41,88850.15,2026-03-05,Paid,2026-03-16,DEP-03,PRJ-103
INV-60085,2026-05-15,PO-40095,GRN-50095,V-1052,Finolex Pipes,Plumbing Materials,32437.49,5838.75,38276.24,2026-06-29,Paid,2026-07-01,DEP-04,PRJ-104
INV-60086,2026-05-28,PO-40096,GRN-50096,V-1007,Schneider Electric India,Electrical,27531.44,4955.66,32487.1,2026-06-27,Paid,2026-06-30,DEP-06,PRJ-106
INV-60087,2025-11-22,PO-40097,GRN-50097,V-1035,Premier Energies,Solar Panels,4953773.69,891679.26,5845452.95,2025-12-07,Paid,2025-12-02,DEP-06,PRJ-106
INV-60088,2025-11-12,PO-40098,GRN-50098,V-1032,Adani Solar,Solar Panels,296712.3,53408.21,350120.51,2026-01-11,Overdue,,DEP-01,PRJ-101
INV-60089,2026-02-03,PO-40099,GRN-50099,V-1003,Anchor by Panasonic,Electrical,32857.34,5914.32,38771.66,2026-02-18,Paid,2026-02-21,DEP-03,PRJ-103
INV-60090,2026-06-06,PO-40101,GRN-50100,V-1036,Emmvee Solar,Solar Panels,51744.13,9313.94,61058.07,2026-07-21,Paid,2026-07-18,DEP-01,PRJ-101
INV-60091,2025-10-03,PO-40102,GRN-50101,V-1026,Tata Steel,Road Construction Materials,987396.39,177731.35,1165127.74,2025-12-02,Paid,2025-12-13,DEP-03,PRJ-103
INV-60092,2026-04-04,PO-40103,GRN-50102,V-1002,Finolex Cables,Electrical,11678.4,2102.11,13780.51,2026-05-04,Paid,2026-04-27,DEP-04,PRJ-104
INV-60093,2026-08-15,PO-40104,GRN-50104,V-1026,Tata Steel,Road Construction Materials,31489.39,5668.09,37157.48,2026-10-14,Paid,2026-10-26,DEP-01,PRJ-101
INV-60094,2025-10-09,PO-40105,GRN-50105,V-1001,Polycab India,Electrical,2136.45,384.56,2521.01,2025-11-08,Paid,2025-11-15,DEP-05,PRJ-105
INV-60095,2026-06-13,PO-40106,GRN-50106,V-1005,Crompton Greaves Consumer,Electrical,427.3,76.91,504.21,2026-07-13,Paid,2026-07-08,DEP-05,PRJ-105
INV-60096,2026-05-14,PO-40107,GRN-50107,V-1045,HBL Power Systems,Batteries,178411.73,32114.11,210525.84,2026-06-28,Paid,2026-07-03,DEP-05,PRJ-105
INV-60097,2026-05-21,PO-40108,GRN-50108,V-1031,Waaree Energies,Solar Panels,1002.08,180.37,1182.45,2026-06-20,Paid,2026-06-21,DEP-02,PRJ-102
INV-60098,2026-04-17,PO-40109,GRN-50109,V-1059,Roto Pumps,Plumbing Materials,17196.67,3095.4,20292.07,2026-05-17,Paid,2026-05-17,DEP-04,PRJ-104
INV-60099,2025-12-31,PO-40110,GRN-50110,V-1015,Action Tesa,Carpentry,10051.0,1809.18,11860.18,2026-01-30,Paid,2026-01-31,DEP-05,PRJ-105
INV-60100,2025-10-28,PO-40111,GRN-50111,V-1052,Finolex Pipes,Plumbing Materials,1077.0,193.86,1270.86,2025-12-12,Pending,,DEP-03,PRJ-103
INV-60101,2025-11-30,PO-40112,GRN-50112,V-1007,Schneider Electric India,Electrical,20666.96,3720.05,24387.01,2025-12-30,Paid,2025-12-30,DEP-05,PRJ-105
INV-60102,2025-11-29,PO-40112,GRN-50113,V-1007,Schneider Electric India,Electrical,20666.96,3720.05,24387.01,2025-12-29,Paid,2026-01-04,DEP-05,PRJ-105
INV-60103,2026-06-20,PO-40113,GRN-50114,V-1035,Premier Energies,Solar Panels,11557.51,2080.35,13637.86,2026-07-05,Paid,2026-06-29,DEP-04,PRJ-104
INV-60104,2026-05-16,PO-40114,GRN-50115,V-1053,Prince Pipes,Plumbing Materials,50844.68,9152.04,59996.72,2026-05-31,Paid,2026-05-29,DEP-03,PRJ-103
INV-60105,2025-12-06,PO-40116,GRN-50116,V-1052,Finolex Pipes,Plumbing Materials,2775.76,499.64,3275.4,2026-01-20,Paid,2026-01-09,DEP-01,PRJ-101
INV-60106,2026-02-21,PO-40117,GRN-50117,V-1027,JSW Steel,Road Construction Materials,672947.39,121130.53,794077.92,2026-03-23,Paid,2026-03-23,DEP-03,PRJ-103
INV-60107,2026-07-01,PO-40118,GRN-50118,V-1037,RenewSys India,Solar Panels,1820092.39,327616.63,2147709.02,2026-08-15,Overdue,,DEP-03,PRJ-103
INV-60108,2026-07-06,PO-40118,GRN-50119,V-1037,RenewSys India,Solar Panels,1820092.39,327616.63,2147709.02,2026-08-20,Paid,2026-08-26,DEP-03,PRJ-103
INV-60109,2025-10-03,PO-40119,GRN-50120,V-1051,Supreme Industries,Plumbing Materials,831.51,149.67,981.18,2025-11-02,Paid,2025-11-14,DEP-06,PRJ-106
INV-60110,2025-11-15,PO-40120,GRN-50121,V-1055,CERA Sanitaryware,Plumbing Materials,197404.29,35532.77,232937.06,2025-12-15,Paid,2025-12-14,DEP-01,PRJ-101
INV-60111,2026-07-28,PO-40121,GRN-50122,V-1021,ACC Limited,Road Construction Materials,66483.86,11967.09,78450.95,2026-08-27,Paid,2026-08-22,DEP-02,PRJ-102
INV-60112,2026-07-31,PO-40122,GRN-50123,V-1004,V-Guard Industries,Electrical,2840.75,511.34,3352.09,2026-08-30,Paid,2026-08-30,DEP-06,PRJ-106
INV-60113,2026-04-12,PO-40123,GRN-50124,V-1001,Polycab India,Electrical,21906.2,3943.12,25849.32,2026-05-12,Paid,2026-05-19,DEP-03,PRJ-103
INV-60114,2026-08-20,PO-40124,GRN-50125,V-1033,Vikram Solar,Solar Panels,353265.71,63587.83,416853.54,2026-09-19,Paid,2026-09-19,DEP-04,PRJ-104
INV-60115,2025-10-19,PO-40125,GRN-50126,V-1054,Ashirvad Pipes (Aliaxis),Plumbing Materials,8577.69,1543.98,10121.67,2025-11-03,Paid,2025-11-07,DEP-06,PRJ-106
INV-60116,2025-11-28,PO-40126,GRN-50127,V-1009,Orient Electric,Electrical,94049.01,16928.82,110977.83,2025-12-13,Paid,2025-12-13,DEP-03,PRJ-103
INV-60117,2026-01-14,PO-40127,GRN-50128,V-1037,RenewSys India,Solar Panels,363544.78,65438.06,428982.84,2026-02-28,Paid,2026-02-15,DEP-05,PRJ-105
INV-60118,2026-02-06,PO-40128,GRN-50129,V-1058,Kajaria Ceramics,Plumbing Materials,31383.57,5649.04,37032.61,2026-04-07,Paid,2026-04-13,DEP-04,PRJ-104
INV-60119,2026-03-01,PO-40129,GRN-50130,V-1013,Archidply Industries,Carpentry,5792.71,1042.69,6835.4,2026-03-31,Pending,,DEP-03,PRJ-103
INV-60120,2025-11-02,PO-40130,GRN-50131,V-1022,Ambuja Cements,Road Construction Materials,177938.52,32028.93,209967.45,2025-11-17,Pending,,DEP-06,PRJ-106
INV-60121,2026-08-22,PO-40131,GRN-50133,V-1003,Anchor by Panasonic,Electrical,1192.18,214.59,1406.77,2026-09-06,Paid,2026-09-05,DEP-05,PRJ-105
INV-60122,2025-12-24,PO-40132,GRN-50134,V-1004,V-Guard Industries,Electrical,3908.21,703.48,4611.69,2026-01-23,Paid,2026-01-24,DEP-04,PRJ-104
INV-60123,2025-09-29,PO-40133,GRN-50135,V-1041,Amara Raja Batteries (Amaron),Batteries,361945.47,65150.18,427095.65,2025-10-29,Paid,2025-11-03,DEP-03,PRJ-103
INV-60124,2025-09-20,PO-40134,GRN-50136,V-1015,Action Tesa,Carpentry,47006.09,8461.1,55467.19,2025-10-20,Paid,2025-10-20,DEP-05,PRJ-105
INV-60125,2025-12-30,PO-40135,GRN-50137,V-1004,V-Guard Industries,Electrical,18326.83,3298.83,21625.66,2026-01-29,Paid,2026-02-04,DEP-04,PRJ-104
INV-60126,2026-03-23,PO-40136,GRN-50138,V-1046,Livguard Energy,Batteries,147471.2,26544.82,174016.02,2026-04-07,Paid,2026-04-08,DEP-05,PRJ-105
INV-60127,2025-11-16,PO-40137,GRN-50139,V-1053,Prince Pipes,Plumbing Materials,2942.85,529.71,3472.56,2025-12-01,Paid,2025-11-30,DEP-05,PRJ-105
INV-60128,2026-06-29,PO-40138,GRN-50140,V-1022,Ambuja Cements,Road Construction Materials,18578.65,3344.16,21922.81,2026-07-14,Paid,2026-07-27,DEP-06,PRJ-106
INV-60129,2026-02-21,PO-40139,GRN-50141,V-1028,Birla Corporation,Road Construction Materials,20489.46,3688.1,24177.56,2026-04-22,Paid,2026-04-30,DEP-02,PRJ-102
INV-60130,2025-12-15,PO-40141,GRN-50143,V-1041,Amara Raja Batteries (Amaron),Batteries,558061.34,100451.04,658512.38,2026-01-14,Paid,2026-01-24,DEP-04,PRJ-104
INV-60131,2026-04-27,PO-40142,GRN-50144,V-1031,Waaree Energies,Solar Panels,2943.32,529.8,3473.12,2026-05-27,Paid,2026-05-27,DEP-06,PRJ-106
INV-60132,2025-12-18,PO-40143,GRN-50145,V-1041,Amara Raja Batteries (Amaron),Batteries,104533.5,18816.03,123349.53,2026-01-17,Pending,,DEP-01,PRJ-101
INV-60133,2026-07-28,PO-40144,GRN-50146,V-1058,Kajaria Ceramics,Plumbing Materials,1573.17,283.17,1856.34,2026-09-26,Paid,2026-09-27,DEP-04,PRJ-104
INV-60134,2026-02-21,PO-40145,GRN-50147,V-1004,V-Guard Industries,Electrical,7345.95,1322.27,8668.22,2026-03-23,Paid,2026-03-23,DEP-03,PRJ-103
INV-60135,2026-03-05,PO-40145,GRN-50148,V-1004,V-Guard Industries,Electrical,7345.95,1322.27,8668.22,2026-04-04,Paid,2026-04-12,DEP-03,PRJ-103
INV-60136,2025-12-20,PO-40146,GRN-50149,V-1049,Exicom Power Solutions,Batteries,587857.73,105814.39,693672.12,2026-01-19,Paid,2026-01-18,DEP-02,PRJ-102
INV-60137,2026-04-05,PO-40147,GRN-50150,V-1029,L&T Construction Materials,Road Construction Materials,476217.99,85719.24,561937.23,2026-05-05,Paid,2026-05-13,DEP-02,PRJ-102
INV-60138,2025-12-27,PO-40148,GRN-50151,V-1051,Supreme Industries,Plumbing Materials,86040.81,15487.35,101528.16,2026-01-26,Paid,2026-01-30,DEP-01,PRJ-101
INV-60139,2025-11-10,PO-40149,GRN-50152,V-1039,Loom Solar,Solar Panels,24455.61,4402.01,28857.62,2025-12-10,Paid,2025-12-13,DEP-05,PRJ-105
INV-60140,2025-11-30,PO-40149,GRN-50153,V-1039,Loom Solar,Solar Panels,30569.52,5502.51,36072.03,2025-12-30,Overdue,,DEP-05,PRJ-105
INV-60141,2026-02-06,PO-40150,GRN-50154,V-1017,Hettich India,Carpentry,90179.63,16232.33,106411.96,2026-03-23,Paid,2026-04-06,DEP-06,PRJ-106
INV-60142,2026-05-31,PO-40151,GRN-50155,V-1003,Anchor by Panasonic,Electrical,1231.59,221.69,1453.28,2026-06-15,Paid,2026-06-13,DEP-02,PRJ-102
INV-60143,2026-01-26,PO-40152,GRN-50156,V-1055,CERA Sanitaryware,Plumbing Materials,19762.36,3557.22,23319.58,2026-02-25,Paid,2026-03-03,DEP-06,PRJ-106
INV-60144,2026-01-28,PO-40153,GRN-50157,V-1012,Kitply Industries,Carpentry,1023.3,184.19,1207.49,2026-02-12,Overdue,,DEP-06,PRJ-106
INV-60145,2026-02-17,PO-40154,GRN-50158,V-1015,Action Tesa,Carpentry,18439.04,3319.03,21758.07,2026-03-19,Paid,2026-03-25,DEP-04,PRJ-104
INV-60146,2025-12-17,PO-40155,GRN-50159,V-1055,CERA Sanitaryware,Plumbing Materials,245242.49,44143.65,289386.14,2026-01-16,Paid,2026-01-17,DEP-06,PRJ-106
INV-60147,2026-01-20,PO-40156,GRN-50160,V-1044,Okaya Power,Batteries,4107.82,739.41,4847.23,2026-02-04,Overdue,,DEP-05,PRJ-105
INV-60148,2026-02-21,PO-40157,GRN-50161,V-1029,L&T Construction Materials,Road Construction Materials,85695.37,15425.17,101120.54,2026-03-23,Paid,2026-03-29,DEP-03,PRJ-103
INV-60149,2026-05-01,PO-40158,GRN-50162,V-1022,Ambuja Cements,Road Construction Materials,54355.89,9784.06,64139.95,2026-05-16,Paid,2026-06-03,DEP-02,PRJ-102
INV-60150,2026-08-05,PO-40159,GRN-50163,V-1005,Crompton Greaves Consumer,Electrical,23903.73,4302.67,28206.4,2026-09-04,Paid,2026-09-11,DEP-01,PRJ-101
