ItemCode,ItemDescription,Vertical,UOM,StandardPrice,HSNCode,PreferredBrand,ItemGroup
I-5036,DC Cable 4 sqmm Solar Grade (100m),Solar Panels,Coil,3200,4557,Adani Solar,Solar Panels
I-5037,MC4 Connector Pair,Solar Panels,Pair,95,4462,Loom Solar,Solar Panels
I-5038,Combiner Box 6 in 1 out,Solar Panels,Nos,6500,4457,Vikram Solar,Solar Panels
I-5039,Earthing Kit for Module Structure,Solar Panels,Set,850,7208,Waaree Energies,Solar Panels
I-5040,Anti-Reflective Glass Panel (spare),Solar Panels,Nos,3100,5917,Loom Solar,Solar Panels
I-5041,Solar Cable Gland Set,Solar Panels,Set,145,4226,Loom Solar,Solar Panels
I-5042,Tubular Battery 150Ah C10,Batteries,Nos,14500,4572,Livguard Energy,Batteries
I-5043,Lithium-ion Battery Pack 48V 100Ah,Batteries,Nos,118000,8531,Base Corporation,Batteries
I-5044,Inverter 2.5kVA Pure Sinewave,Batteries,Nos,16500,6492,Okaya Power,Batteries
I-5045,VRLA SMF Battery 12V 100Ah,Batteries,Nos,9800,5574,HBL Power Systems,Batteries
I-5046,Battery Rack 4-Tier MS,Batteries,Nos,3400,5856,Okaya Power,Batteries
I-5047,Battery Interconnect Cable Set,Batteries,Set,650,7143,Luminous Power Technologies,Batteries
I-5048,Battery Monitoring System (BMS module),Batteries,Nos,4200,6358,Panasonic Energy India,Batteries
I-5049,Deep Cycle Battery 200Ah,Batteries,Nos,21500,6491,Amara Raja Batteries (Amaron),Batteries
I-5050,UPVC Pipe 4 inch SCH-40 (3m length),Plumbing Materials,Pcs,1150,3977,Hindware Homes,Plumbing Materials
I-5051,CPVC Pipe 1 inch (3m length),Plumbing Materials,Pcs,380,8513,Supreme Industries,Plumbing Materials
I-5052,PVC Elbow 4 inch,Plumbing Materials,Nos,95,4501,Kajaria Ceramics,Plumbing Materials
I-5053,Ball Valve 1 inch Brass,Plumbing Materials,Nos,320,5647,Kajaria Ceramics,Plumbing Materials
I-5054,Water Tank 1000L HDPE,Plumbing Materials,Nos,6800,6073,Finolex Pipes,Plumbing Materials
I-5055,Sanitaryware Wash Basin,Plumbing Materials,Nos,2450,6760,Supreme Industries,Plumbing Materials
I-5056,Concealed Cistern with Frame,Plumbing Materials,Set,8500,5902,CERA Sanitaryware,Plumbing Materials
I-5057,Bathroom Faucet Single Lever,Plumbing Materials,Nos,1850,6235,Finolex Pipes,Plumbing Materials
I-5058,Submersible Pump 1HP,Plumbing Materials,Nos,9200,7490,Kajaria Ceramics,Plumbing Materials
I-5059,Pipe Clamp GI 4 inch,Plumbing Materials,Nos,65,6379,Roto Pumps,Plumbing Materials
